time,robot_x_axis,robot_y_axis,robot_z_axis
1661977524501529693,0.0863,-0.0507,0.01
1661977524530160427,0.0863,-0.0506,0.01
1661977524558618783,0.0863,-0.0505,0.01
1661977524587543725,0.0863,-0.0505,0.01
1661977524616620063,0.0863,-0.0504,0.01
1661977524644959211,0.0863,-0.0503,0.01
1661977524673497438,0.0863,-0.0503,0.01
1661977524702229022,0.0863,-0.0502,0.01
1661977524730828762,0.0863,-0.0501,0.01
1661977524759579420,0.0863,-0.05,0.01
1661977524788156747,0.0863,-0.05,0.01
1661977524816791534,0.0863,-0.0499,0.01
1661977524845786094,0.0863,-0.0498,0.01
1661977524882502317,0.0863,-0.0497,0.01
1661977524911043405,0.0863,-0.0497,0.01
1661977524939835786,0.0863,-0.0496,0.01
1661977524968373537,0.0863,-0.0495,0.01
1661977524997201919,0.0863,-0.0494,0.01
1661977525025700807,0.0863,-0.0494,0.01
1661977525054344892,0.0863,-0.0493,0.01
1661977525083056449,0.0863,-0.0492,0.01
1661977525111997365,0.0863,-0.0491,0.01
1661977525140514135,0.0863,-0.0491,0.01
1661977525169135570,0.0863,-0.049,0.01
1661977525197766304,0.0863,-0.0489,0.01
1661977525226626634,0.0863,-0.0489,0.01
1661977525263318538,0.0863,-0.0488,0.01
1661977525292088985,0.0863,-0.0487,0.01
1661977525320779323,0.0863,-0.0486,0.01
1661977525349415779,0.0863,-0.0485,0.01
1661977525378092527,0.0863,-0.0485,0.01
1661977525406768798,0.0863,-0.0484,0.01
1661977525435467004,0.0863,-0.0483,0.01
1661977525465742826,0.0863,-0.0482,0.01
1661977525496906995,0.0863,-0.0482,0.01
1661977525525722980,0.0863,-0.0481,0.01
1661977525554156303,0.0863,-0.048,0.01
1661977525582807779,0.0863,-0.048,0.01
1661977525611424684,0.0863,-0.0479,0.01
1661977525648342370,0.0863,-0.0478,0.01
1661977525676992416,0.0863,-0.0477,0.01
1661977525705659627,0.0863,-0.0476,0.01
1661977525734439134,0.0863,-0.0476,0.01
1661977525763070821,0.0863,-0.0475,0.01
1661977525791716814,0.0863,-0.0474,0.01
1661977525820535182,0.0863,-0.0473,0.01
1661977525848994731,0.0863,-0.0473,0.01
1661977525877650499,0.0863,-0.0472,0.01
1661977525906368017,0.0863,-0.0471,0.01
1661977525935081481,0.0863,-0.0471,0.01
1661977525963798046,0.0863,-0.047,0.01
1661977525992466926,0.0863,-0.0469,0.01
1661977526021202325,0.0863,-0.0468,0.01
1661977526058152914,0.0863,-0.0467,0.01
1661977526086729526,0.0863,-0.0467,0.01
1661977526115314960,0.0863,-0.0466,0.01
1661977526144156217,0.0863,-0.0465,0.01
1661977526172660589,0.0863,-0.0465,0.01
1661977526201337099,0.0863,-0.0464,0.01
1661977526230065822,0.0863,-0.0463,0.01
1661977526258651018,0.0863,-0.0462,0.01
1661977526287275791,0.0863,-0.0462,0.01
1661977526315947532,0.0863,-0.0461,0.01
1661977526344739913,0.0863,-0.046,0.01
1661977526373871564,0.0863,-0.0459,0.01
1661977526402256965,0.0863,-0.0459,0.01
1661977526439015626,0.0863,-0.0458,0.01
1661977526467590808,0.0863,-0.0457,0.01
1661977526496310234,0.0863,-0.0456,0.01
1661977526524859666,0.0863,-0.0456,0.01
1661977526553703784,0.0863,-0.0455,0.01
1661977526582351922,0.0863,-0.0454,0.01
1661977526610965013,0.0863,-0.0453,0.01
1661977526639833927,0.0863,-0.0453,0.01
1661977526668273210,0.0863,-0.0452,0.01
1661977526696968078,0.0863,-0.0451,0.01
1661977526725770711,0.0863,-0.0451,0.01
1661977526754379272,0.0863,-0.045,0.01
1661977526783051490,0.0863,-0.0449,0.01
1661977526811692476,0.0863,-0.0448,0.01
1661977526848490715,0.0863,-0.0447,0.01
1661977526877204179,0.0863,-0.0447,0.01
1661977526906003475,0.0863,-0.0446,0.01
1661977526934575796,0.0863,-0.0445,0.01
1661977526964735746,0.0863,-0.0444,0.01
1661977526992232561,0.0863,-0.0444,0.01
1661977527020701408,0.0863,-0.0443,0.01
1661977527049274921,0.0863,-0.0442,0.01
1661977527078050613,0.0863,-0.0442,0.01
1661977527106600046,0.0863,-0.0441,0.01
1661977527135293006,0.0863,-0.044,0.01
1661977527163934707,0.0863,-0.0439,0.01
1661977527192715883,0.0863,-0.0439,0.01
1661977527229835033,0.0863,-0.0438,0.01
1661977527258704423,0.0863,-0.0437,0.01
1661977527287004232,0.0863,-0.0436,0.01
1661977527315593481,0.0863,-0.0436,0.01
1661977527344181537,0.0863,-0.0435,0.01
1661977527372771263,0.0863,-0.0434,0.01
1661977527401519298,0.0863,-0.0433,0.01
1661977527430302381,0.0863,-0.0433,0.01
1661977527458973646,0.0863,-0.0432,0.01
1661977527487626552,0.0863,-0.0431,0.01
1661977527516345739,0.0863,-0.043,0.01
1661977527545053720,0.0863,-0.043,0.01
1661977527573650360,0.0863,-0.0429,0.01
1661977527602243900,0.0863,-0.0428,0.01
