time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.name,.position,.velocity,.effort
2022/10/21/16:48:40.239734,401148,1666392520,238136053,,"['joint_1', 'joint_2', 'joint_3']","(0.052, -0.057, 0.15)",(),()
2022/10/21/16:48:40.288520,401149,1666392520,287348031,,"['joint_1', 'joint_2', 'joint_3']","(0.052, -0.057, 0.15)",(),()
2022/10/21/16:48:40.337927,401150,1666392520,336614370,,"['joint_1', 'joint_2', 'joint_3']","(0.052, -0.057, 0.15)",(),()
2022/10/21/16:48:40.387097,401151,1666392520,385648727,,"['joint_1', 'joint_2', 'joint_3']","(0.052, -0.057, 0.15)",(),()
2022/10/21/16:48:40.435919,401152,1666392520,434728622,,"['joint_1', 'joint_2', 'joint_3']","(0.052, -0.057, 0.15)",(),()
2022/10/21/16:48:40.485263,401153,1666392520,483776807,,"['joint_1', 'joint_2', 'joint_3']","(0.052, -0.057, 0.15)",(),()
2022/10/21/16:48:40.533825,401154,1666392520,532989740,,"['joint_1', 'joint_2', 'joint_3']","(0.052, -0.057, 0.15)",(),()
2022/10/21/16:48:40.583482,401155,1666392520,582210540,,"['joint_1', 'joint_2', 'joint_3']","(0.052, -0.057, 0.15)",(),()
2022/10/21/16:48:40.633186,401156,1666392520,631597042,,"['joint_1', 'joint_2', 'joint_3']","(0.052, -0.057, 0.15)",(),()
2022/10/21/16:48:40.685707,401157,1666392520,684336423,,"['joint_1', 'joint_2', 'joint_3']","(0.052, -0.057, 0.15)",(),()
2022/10/21/16:48:40.734540,401158,1666392520,733683824,,"['joint_1', 'joint_2', 'joint_3']","(0.052, -0.057, 0.15)",(),()
2022/10/21/16:48:40.785096,401159,1666392520,783037424,,"['joint_1', 'joint_2', 'joint_3']","(0.052, -0.057, 0.15)",(),()
2022/10/21/16:48:40.833547,401160,1666392520,832026481,,"['joint_1', 'joint_2', 'joint_3']","(0.052, -0.057, 0.15)",(),()
2022/10/21/16:48:40.883101,401161,1666392520,881235599,,"['joint_1', 'joint_2', 'joint_3']","(0.052, -0.057, 0.15)",(),()
2022/10/21/16:48:40.931716,401162,1666392520,930410861,,"['joint_1', 'joint_2', 'joint_3']","(0.052, -0.057, 0.15)",(),()
2022/10/21/16:48:40.980995,401163,1666392520,979523181,,"['joint_1', 'joint_2', 'joint_3']","(0.052, -0.057, 0.15)",(),()
2022/10/21/16:48:41.029672,401164,1666392521,28683662,,"['joint_1', 'joint_2', 'joint_3']","(0.052, -0.057, 0.15)",(),()
2022/10/21/16:48:41.079217,401165,1666392521,77804803,,"['joint_1', 'joint_2', 'joint_3']","(0.052, -0.057, 0.15)",(),()
2022/10/21/16:48:41.128880,401166,1666392521,127183437,,"['joint_1', 'joint_2', 'joint_3']","(0.052, -0.057, 0.15)",(),()
2022/10/21/16:48:41.180799,401167,1666392521,180098056,,"['joint_1', 'joint_2', 'joint_3']","(0.052, -0.057, 0.15)",(),()
2022/10/21/16:48:41.230725,401168,1666392521,229608535,,"['joint_1', 'joint_2', 'joint_3']","(0.052, -0.057, 0.15)",(),()
2022/10/21/16:48:41.279509,401169,1666392521,278669595,,"['joint_1', 'joint_2', 'joint_3']","(0.052, -0.057, 0.15)",(),()
2022/10/21/16:48:41.329660,401170,1666392521,327786207,,"['joint_1', 'joint_2', 'joint_3']","(0.052, -0.057, 0.15)",(),()
2022/10/21/16:48:41.378289,401171,1666392521,377055644,,"['joint_1', 'joint_2', 'joint_3']","(0.052, -0.057, 0.15)",(),()
2022/10/21/16:48:41.426991,401172,1666392521,426093816,,"['joint_1', 'joint_2', 'joint_3']","(0.052, -0.057, 0.15)",(),()
2022/10/21/16:48:41.476399,401173,1666392521,475320100,,"['joint_1', 'joint_2', 'joint_3']","(0.052, -0.057, 0.15)",(),()
2022/10/21/16:48:41.525218,401174,1666392521,524358510,,"['joint_1', 'joint_2', 'joint_3']","(0.052, -0.057, 0.15)",(),()
2022/10/21/16:48:41.574856,401175,1666392521,573486566,,"['joint_1', 'joint_2', 'joint_3']","(0.052, -0.057, 0.15)",(),()
2022/10/21/16:48:41.623740,401176,1666392521,622826576,,"['joint_1', 'joint_2', 'joint_3']","(0.052, -0.057, 0.15)",(),()
2022/10/21/16:48:41.678014,401177,1666392521,675691843,,"['joint_1', 'joint_2', 'joint_3']","(0.052, -0.057, 0.15)",(),()
2022/10/21/16:48:41.725920,401178,1666392521,725065946,,"['joint_1', 'joint_2', 'joint_3']","(0.052, -0.057, 0.15)",(),()
2022/10/21/16:48:41.780957,401179,1666392521,774717092,,"['joint_1', 'joint_2', 'joint_3']","(0.052, -0.057, 0.15)",(),()
2022/10/21/16:48:41.824873,401180,1666392521,823596000,,"['joint_1', 'joint_2', 'joint_3']","(0.052, -0.057, 0.15)",(),()
2022/10/21/16:48:41.873741,401181,1666392521,872565269,,"['joint_1', 'joint_2', 'joint_3']","(0.052, -0.057, 0.15)",(),()
2022/10/21/16:48:41.923279,401182,1666392521,921800851,,"['joint_1', 'joint_2', 'joint_3']","(0.052, -0.057, 0.15)",(),()
2022/10/21/16:48:41.972066,401183,1666392521,970862150,,"['joint_1', 'joint_2', 'joint_3']","(0.052, -0.057, 0.15)",(),()
2022/10/21/16:48:42.020646,401184,1666392522,20066261,,"['joint_1', 'joint_2', 'joint_3']","(0.052, -0.057, 0.15)",(),()
2022/10/21/16:48:42.070639,401185,1666392522,69205045,,"['joint_1', 'joint_2', 'joint_3']","(0.052, -0.057, 0.15)",(),()
2022/10/21/16:48:42.119462,401186,1666392522,118518352,,"['joint_1', 'joint_2', 'joint_3']","(0.052, -0.057, 0.15)",(),()
2022/10/21/16:48:42.172573,401187,1666392522,171280384,,"['joint_1', 'joint_2', 'joint_3']","(0.052, -0.057, 0.15)",(),()
