time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.voltage,.current,.wfs
2022/10/25/13:50:26.824951,57,1666727426,824670314,,0.20000000298023224,0.0,7.699999809265137
2022/10/25/13:50:26.874950,58,1666727426,874613523,,0.20000000298023224,0.0,7.699999809265137
2022/10/25/13:50:26.925161,59,1666727426,924886226,,0.20000000298023224,0.0,7.699999809265137
2022/10/25/13:50:26.975695,60,1666727426,975354671,,0.20000000298023224,0.0,7.699999809265137
2022/10/25/13:50:26.989743,61,1666727426,989406108,,0.20000000298023224,0.0,7.699999809265137
2022/10/25/13:50:27.025934,62,1666727427,25633096,,0.20000000298023224,0.0,7.699999809265137
2022/10/25/13:50:27.031207,63,1666727427,30902624,,0.20000000298023224,0.0,7.699999809265137
2022/10/25/13:50:27.033261,64,1666727427,32921075,,0.20000000298023224,0.0,7.699999809265137
2022/10/25/13:50:27.040598,65,1666727427,40292501,,0.20000000298023224,0.0,7.699999809265137
2022/10/25/13:50:27.051942,66,1666727427,51660537,,0.20000000298023224,0.0,7.699999809265137
2022/10/25/13:50:27.076623,67,1666727427,75926065,,0.20000000298023224,0.0,7.699999809265137
2022/10/25/13:50:27.126088,68,1666727427,125736474,,0.20000000298023224,0.0,7.699999809265137
2022/10/25/13:50:27.176673,69,1666727427,176408290,,0.20000000298023224,0.0,7.699999809265137
2022/10/25/13:50:27.226677,70,1666727427,226335525,,0.20000000298023224,0.0,7.699999809265137
2022/10/25/13:50:27.276851,71,1666727427,276563167,,0.20000000298023224,0.0,7.699999809265137
2022/10/25/13:50:27.327529,72,1666727427,326974153,,0.20000000298023224,0.0,7.699999809265137
2022/10/25/13:50:27.376972,73,1666727427,376699209,,0.20000000298023224,0.0,7.699999809265137
2022/10/25/13:50:27.400104,74,1666727427,399784088,,0.20000000298023224,0.0,7.699999809265137
2022/10/25/13:50:27.427189,75,1666727427,426908493,,0.20000000298023224,0.0,7.699999809265137
2022/10/25/13:50:27.477851,76,1666727427,477572679,,0.20000000298023224,0.0,7.699999809265137
2022/10/25/13:50:27.527521,77,1666727427,527179956,,0.20000000298023224,0.0,7.699999809265137
2022/10/25/13:50:27.536990,78,1666727427,536637067,,0.20000000298023224,0.0,7.699999809265137
2022/10/25/13:50:27.548820,79,1666727427,548567295,,0.20000000298023224,0.0,7.699999809265137
2022/10/25/13:50:27.577910,80,1666727427,577676296,,0.20000000298023224,0.0,7.699999809265137
2022/10/25/13:50:27.627978,81,1666727427,627701044,,0.20000000298023224,0.0,7.699999809265137
2022/10/25/13:50:27.634590,82,1666727427,633825540,,0.20000000298023224,0.0,7.699999809265137
2022/10/25/13:50:27.678088,83,1666727427,677779674,,0.20000000298023224,0.0,7.699999809265137
2022/10/25/13:50:27.728446,84,1666727427,728224992,,0.20000000298023224,0.0,7.699999809265137
2022/10/25/13:50:27.778862,85,1666727427,778565168,,0.20000000298023224,0.0,7.699999809265137
2022/10/25/13:50:27.829222,86,1666727427,828898191,,0.20000000298023224,0.0,7.699999809265137
2022/10/25/13:50:27.878979,87,1666727427,878672838,,0.20000000298023224,0.0,7.699999809265137
2022/10/25/13:50:27.929022,88,1666727427,928777217,,0.20000000298023224,0.0,7.699999809265137
2022/10/25/13:50:27.979473,89,1666727427,979189157,,0.20000000298023224,0.0,7.699999809265137
2022/10/25/13:50:27.993691,90,1666727427,993391513,,0.20000000298023224,0.0,7.699999809265137
2022/10/25/13:50:28.029740,91,1666727428,29439687,,0.20000000298023224,0.0,7.699999809265137
2022/10/25/13:50:28.035665,92,1666727428,35256385,,0.20000000298023224,0.0,7.699999809265137
2022/10/25/13:50:28.037920,93,1666727428,37600994,,0.20000000298023224,0.0,7.699999809265137
2022/10/25/13:50:28.043737,94,1666727428,43338298,,0.20000000298023224,0.0,7.699999809265137
2022/10/25/13:50:28.056280,95,1666727428,55977106,,0.20000000298023224,0.0,7.699999809265137
2022/10/25/13:50:28.080464,96,1666727428,79999446,,0.20000000298023224,0.0,7.699999809265137
2022/10/25/13:50:28.130362,97,1666727428,130084037,,0.09000000357627869,0.0,7.699999809265137
2022/10/25/13:50:28.179977,98,1666727428,179730653,,0.09000000357627869,0.0,7.699999809265137
2022/10/25/13:50:28.230274,99,1666727428,229971885,,0.09000000357627869,0.0,7.699999809265137
2022/10/25/13:50:28.280656,100,1666727428,280319690,,0.09000000357627869,0.0,7.699999809265137
2022/10/25/13:50:28.330783,101,1666727428,330466985,,0.09000000357627869,0.0,7.699999809265137
2022/10/25/13:50:28.381973,102,1666727428,381522655,,0.09000000357627869,0.0,7.699999809265137
2022/10/25/13:50:28.404281,103,1666727428,403942108,,0.009999999776482582,0.0,7.699999809265137
2022/10/25/13:50:28.431154,104,1666727428,430856943,,0.009999999776482582,0.0,7.699999809265137
2022/10/25/13:50:28.481395,105,1666727428,480966329,,0.009999999776482582,0.0,7.699999809265137
2022/10/25/13:50:28.531565,106,1666727428,531188726,,0.009999999776482582,0.0,7.699999809265137
2022/10/25/13:50:28.540120,107,1666727428,539742708,,0.009999999776482582,0.0,7.699999809265137
2022/10/25/13:50:28.553014,108,1666727428,552726268,,0.009999999776482582,0.0,7.699999809265137
2022/10/25/13:50:28.582044,109,1666727428,581735610,,0.009999999776482582,0.0,7.699999809265137
2022/10/25/13:50:28.632385,110,1666727428,632059097,,0.009999999776482582,0.0,7.699999809265137
2022/10/25/13:50:28.638226,111,1666727428,637873172,,0.009999999776482582,0.0,7.699999809265137
2022/10/25/13:50:28.683609,112,1666727428,683327674,,0.009999999776482582,0.0,7.699999809265137
2022/10/25/13:50:28.732528,113,1666727428,732158184,,0.009999999776482582,0.0,7.699999809265137
2022/10/25/13:50:28.782563,114,1666727428,782228231,,0.009999999776482582,0.0,7.699999809265137
2022/10/25/13:50:28.833158,115,1666727428,832826375,,0.009999999776482582,0.0,7.699999809265137
2022/10/25/13:50:28.883019,116,1666727428,882730484,,0.0,0.0,7.699999809265137
2022/10/25/13:50:28.933477,117,1666727428,933153867,,0.0,0.0,7.699999809265137
2022/10/25/13:50:28.983907,118,1666727428,983551025,,0.0,0.0,7.699999809265137
2022/10/25/13:50:28.997726,119,1666727428,997441053,,0.0,0.0,7.699999809265137
2022/10/25/13:50:29.033939,120,1666727429,33597230,,0.0,0.0,7.699999809265137
2022/10/25/13:50:29.039261,121,1666727429,38887262,,0.0,0.0,7.699999809265137
2022/10/25/13:50:29.041550,122,1666727429,41212558,,0.0,0.0,7.699999809265137
2022/10/25/13:50:29.048216,123,1666727429,47846794,,0.0,0.0,7.699999809265137
2022/10/25/13:50:29.060413,124,1666727429,60161113,,0.0,0.0,7.699999809265137
2022/10/25/13:50:29.085571,125,1666727429,85174322,,0.0,60.20000076293945,7.699999809265137
2022/10/25/13:50:29.134564,126,1666727429,134122610,,0.0,60.20000076293945,7.699999809265137
2022/10/25/13:50:29.184593,127,1666727429,184044599,,42.040000915527344,60.20000076293945,7.699999809265137
2022/10/25/13:50:29.234494,128,1666727429,234055519,,42.040000915527344,60.20000076293945,7.699999809265137
2022/10/25/13:50:29.284959,129,1666727429,284605741,,42.040000915527344,60.20000076293945,1.5
2022/10/25/13:50:29.335093,130,1666727429,334719657,,42.040000915527344,60.20000076293945,7.699999809265137
2022/10/25/13:50:29.385240,131,1666727429,384897232,,42.040000915527344,119.4000015258789,7.699999809265137
2022/10/25/13:50:29.408113,132,1666727429,407743930,,42.040000915527344,119.4000015258789,7.699999809265137
2022/10/25/13:50:29.435170,133,1666727429,434839010,,42.040000915527344,119.4000015258789,7.699999809265137
2022/10/25/13:50:29.485460,134,1666727429,485116004,,17.5,119.4000015258789,1.5
2022/10/25/13:50:29.535989,135,1666727429,535626173,,17.5,119.4000015258789,7.699999809265137
2022/10/25/13:50:29.544090,136,1666727429,543730974,,17.5,119.4000015258789,7.699999809265137
2022/10/25/13:50:29.556948,137,1666727429,556682348,,17.5,119.4000015258789,7.699999809265137
2022/10/25/13:50:29.586247,138,1666727429,585949897,,17.5,119.4000015258789,7.699999809265137
2022/10/25/13:50:29.636343,139,1666727429,635980367,,15.979999542236328,119.4000015258789,7.699999809265137
2022/10/25/13:50:29.642199,140,1666727429,641886949,,15.979999542236328,119.4000015258789,7.699999809265137
2022/10/25/13:50:29.686702,141,1666727429,686339378,,15.979999542236328,119.4000015258789,7.699999809265137
2022/10/25/13:50:29.736325,142,1666727429,735972642,,15.979999542236328,119.30000305175781,7.699999809265137
2022/10/25/13:50:29.787107,143,1666727429,786802768,,15.979999542236328,119.30000305175781,7.699999809265137
2022/10/25/13:50:29.836989,144,1666727429,836680412,,16.389999389648438,121.19999694824219,7.699999809265137
2022/10/25/13:50:29.887058,145,1666727429,886684417,,16.389999389648438,121.19999694824219,7.699999809265137
2022/10/25/13:50:29.937601,146,1666727429,937266826,,16.389999389648438,121.19999694824219,7.699999809265137
2022/10/25/13:50:29.987574,147,1666727429,987314701,,16.389999389648438,121.19999694824219,7.699999809265137
2022/10/25/13:50:30.001985,148,1666727430,1627445,,16.389999389648438,121.19999694824219,0.33000001311302185
2022/10/25/13:50:30.037895,149,1666727430,37594318,,16.389999389648438,121.19999694824219,7.699999809265137
2022/10/25/13:50:30.043405,150,1666727430,43088674,,16.389999389648438,121.19999694824219,7.699999809265137
2022/10/25/13:50:30.045528,151,1666727430,45223236,,16.389999389648438,121.19999694824219,7.699999809265137
2022/10/25/13:50:30.052359,152,1666727430,52026033,,16.389999389648438,121.19999694824219,7.699999809265137
2022/10/25/13:50:30.063594,153,1666727430,63249349,,16.389999389648438,121.19999694824219,7.699999809265137
2022/10/25/13:50:30.087816,154,1666727430,87569475,,16.389999389648438,121.19999694824219,7.699999809265137
2022/10/25/13:50:30.138309,155,1666727430,137874841,,17.34000015258789,121.19999694824219,0.33000001311302185
2022/10/25/13:50:30.188625,156,1666727430,188257694,,17.34000015258789,120.30000305175781,7.699999809265137
2022/10/25/13:50:30.238689,157,1666727430,238286256,,17.34000015258789,120.30000305175781,0.33000001311302185
2022/10/25/13:50:30.288737,158,1666727430,288433313,,17.34000015258789,120.30000305175781,7.699999809265137
2022/10/25/13:50:30.339043,159,1666727430,338645935,,17.1299991607666,120.30000305175781,3.299999952316284
2022/10/25/13:50:30.389255,160,1666727430,388915777,,17.1299991607666,122.0999984741211,3.299999952316284
2022/10/25/13:50:30.412440,161,1666727430,412140607,,17.1299991607666,122.0999984741211,7.699999809265137
2022/10/25/13:50:30.438984,162,1666727430,438765764,,17.1299991607666,122.0999984741211,7.699999809265137
2022/10/25/13:50:30.490943,163,1666727430,489165306,,17.1299991607666,122.0999984741211,7.699999809265137
2022/10/25/13:50:30.539343,164,1666727430,539067745,,17.1299991607666,122.0999984741211,3.299999952316284
2022/10/25/13:50:30.548413,165,1666727430,548008203,,17.1299991607666,122.0999984741211,3.299999952316284
2022/10/25/13:50:30.561014,166,1666727430,560665607,,17.1299991607666,122.0999984741211,3.299999952316284
2022/10/25/13:50:30.590037,167,1666727430,589697122,,17.1299991607666,122.0999984741211,7.699999809265137
2022/10/25/13:50:30.640440,168,1666727430,640233278,,17.1299991607666,122.0999984741211,7.699999809265137
2022/10/25/13:50:30.646627,169,1666727430,646323919,,17.1299991607666,122.0999984741211,7.699999809265137
2022/10/25/13:50:30.690002,170,1666727430,689738988,,17.1299991607666,114.0999984741211,7.699999809265137
2022/10/25/13:50:30.740470,171,1666727430,740195751,,16.280000686645508,114.0999984741211,7.699999809265137
2022/10/25/13:50:30.790485,172,1666727430,790286064,,16.280000686645508,114.0999984741211,3.299999952316284
2022/10/25/13:50:30.841308,173,1666727430,840883493,,16.280000686645508,114.0999984741211,7.699999809265137
2022/10/25/13:50:30.890992,174,1666727430,890697479,,18.850000381469727,110.19999694824219,7.699999809265137
2022/10/25/13:50:30.942258,175,1666727430,941942214,,18.850000381469727,110.19999694824219,7.699999809265137
2022/10/25/13:50:30.991543,176,1666727430,991173267,,18.850000381469727,110.19999694824219,7.699999809265137
2022/10/25/13:50:31.005596,177,1666727431,5317687,,18.850000381469727,110.19999694824219,7.699999809265137
2022/10/25/13:50:31.041984,178,1666727431,41455268,,18.850000381469727,110.19999694824219,7.699999809265137
2022/10/25/13:50:31.047806,179,1666727431,46892642,,18.850000381469727,110.19999694824219,7.699999809265137
2022/10/25/13:50:31.049852,180,1666727431,49165725,,18.850000381469727,110.19999694824219,7.699999809265137
2022/10/25/13:50:31.056093,181,1666727431,55761814,,18.850000381469727,110.19999694824219,7.699999809265137
2022/10/25/13:50:31.067692,182,1666727431,67359924,,18.850000381469727,110.19999694824219,7.699999809265137
2022/10/25/13:50:31.092458,183,1666727431,92123508,,18.850000381469727,110.19999694824219,7.699999809265137
2022/10/25/13:50:31.144164,184,1666727431,143894195,,18.850000381469727,114.69999694824219,7.699999809265137
2022/10/25/13:50:31.192287,185,1666727431,192016839,,16.399999618530273,114.69999694824219,3.299999952316284
2022/10/25/13:50:31.242577,186,1666727431,242254495,,16.399999618530273,114.69999694824219,7.699999809265137
2022/10/25/13:50:31.293175,187,1666727431,292740345,,16.399999618530273,114.69999694824219,3.299999952316284
2022/10/25/13:50:31.343007,188,1666727431,342762708,,16.399999618530273,114.69999694824219,7.699999809265137
2022/10/25/13:50:31.393052,189,1666727431,392772197,,17.59000015258789,110.80000305175781,3.299999952316284
2022/10/25/13:50:31.416564,190,1666727431,416237831,,17.59000015258789,110.80000305175781,3.299999952316284
2022/10/25/13:50:31.443336,191,1666727431,443007707,,17.59000015258789,110.80000305175781,3.299999952316284
2022/10/25/13:50:31.493514,192,1666727431,493208169,,17.59000015258789,110.80000305175781,7.699999809265137
2022/10/25/13:50:31.543681,193,1666727431,543422698,,17.59000015258789,110.80000305175781,7.699999809265137
2022/10/25/13:50:31.552516,194,1666727431,552167177,,17.59000015258789,110.80000305175781,7.699999809265137
2022/10/25/13:50:31.565346,195,1666727431,564966917,,17.59000015258789,110.80000305175781,7.699999809265137
2022/10/25/13:50:31.594273,196,1666727431,593608856,,17.59000015258789,110.80000305175781,7.699999809265137
2022/10/25/13:50:31.644628,197,1666727431,644225120,,17.59000015258789,110.80000305175781,7.699999809265137
2022/10/25/13:50:31.650849,198,1666727431,650477409,,17.59000015258789,110.80000305175781,7.699999809265137
2022/10/25/13:50:31.694204,199,1666727431,693850994,,17.59000015258789,110.80000305175781,7.699999809265137
2022/10/25/13:50:31.744780,200,1666727431,744436264,,18.8700008392334,110.80000305175781,3.299999952316284
2022/10/25/13:50:31.794520,201,1666727431,794251441,,18.8700008392334,104.0999984741211,3.299999952316284
2022/10/25/13:50:31.845354,202,1666727431,845039367,,18.8700008392334,113.5,7.699999809265137
2022/10/25/13:50:31.894943,203,1666727431,894677400,,16.989999771118164,113.5,7.699999809265137
2022/10/25/13:50:31.945453,204,1666727431,945228338,,16.989999771118164,113.5,7.699999809265137
2022/10/25/13:50:31.995705,205,1666727431,995198726,,16.989999771118164,113.5,3.299999952316284
2022/10/25/13:50:32.009946,206,1666727432,9415388,,16.989999771118164,113.5,7.699999809265137
2022/10/25/13:50:32.048051,207,1666727432,47734975,,16.989999771118164,113.5,3.299999952316284
2022/10/25/13:50:32.050729,208,1666727432,50386428,,16.989999771118164,113.5,7.699999809265137
2022/10/25/13:50:32.052288,209,1666727432,52062988,,16.989999771118164,113.5,7.699999809265137
2022/10/25/13:50:32.060106,210,1666727432,59653043,,16.989999771118164,113.5,7.699999809265137
2022/10/25/13:50:32.072168,211,1666727432,71767807,,16.989999771118164,113.5,7.699999809265137
2022/10/25/13:50:32.096081,212,1666727432,95816373,,18.579999923706055,113.5,7.699999809265137
2022/10/25/13:50:32.146123,213,1666727432,145847082,,18.579999923706055,113.5,7.699999809265137
2022/10/25/13:50:32.196399,214,1666727432,196017503,,18.579999923706055,105.5999984741211,7.699999809265137
2022/10/25/13:50:32.246497,215,1666727432,246208190,,18.579999923706055,105.5999984741211,7.699999809265137
2022/10/25/13:50:32.296921,216,1666727432,296650648,,18.579999923706055,105.5999984741211,7.699999809265137
2022/10/25/13:50:32.346946,217,1666727432,346640586,,18.579999923706055,105.5999984741211,7.699999809265137
2022/10/25/13:50:32.397014,218,1666727432,396726846,,18.579999923706055,93.0999984741211,3.299999952316284
2022/10/25/13:50:32.420664,219,1666727432,419983625,,18.579999923706055,93.0999984741211,3.299999952316284
2022/10/25/13:50:32.447659,220,1666727432,447234869,,18.579999923706055,93.0999984741211,7.699999809265137
2022/10/25/13:50:32.497414,221,1666727432,497136116,,20.149999618530273,93.0999984741211,7.699999809265137
2022/10/25/13:50:32.547602,222,1666727432,547251462,,20.149999618530273,93.0999984741211,7.699999809265137
2022/10/25/13:50:32.555532,223,1666727432,555268049,,20.149999618530273,93.0999984741211,7.699999809265137
2022/10/25/13:50:32.569176,224,1666727432,568835020,,20.149999618530273,93.0999984741211,7.699999809265137
2022/10/25/13:50:32.597938,225,1666727432,597591400,,20.149999618530273,93.0999984741211,7.699999809265137
2022/10/25/13:50:32.648617,226,1666727432,648263454,,20.100000381469727,94.5,7.699999809265137
2022/10/25/13:50:32.654190,227,1666727432,653851985,,20.100000381469727,94.5,3.299999952316284
