time,current,voltage,dep_status
1.65188E+18,81.19999695,12.32999992,N/A
1.65188E+18,81.19999695,12.32999992,N/A
1.65188E+18,81.19999695,12.76000023,N/A
1.65188E+18,81.19999695,12.76000023,N/A
1.65188E+18,81.19999695,12.76000023,N/A
1.65188E+18,81.19999695,12.76000023,N/A
1.65188E+18,81.19999695,12.76000023,N/A
1.65188E+18,81.19999695,14.09000015,N/A
1.65188E+18,81.19999695,14.09000015,N/A
1.65188E+18,81.19999695,14.09000015,N/A
1.65188E+18,81.19999695,14.09000015,N/A
1.65188E+18,81.19999695,14.09000015,N/A
1.65188E+18,81.19999695,14.09000015,N/A
1.65188E+18,81.19999695,14.09000015,N/A
1.65188E+18,81.19999695,14.09000015,N/A
1.65188E+18,81.19999695,14.09000015,N/A
1.65188E+18,84,14.09000015,N/A
1.65188E+18,84,14.09000015,N/A
1.65188E+18,84,14.09000015,N/A
1.65188E+18,84,14.09000015,N/A
1.65188E+18,84,14.09000015,N/A
1.65188E+18,84,14.09000015,N/A
1.65188E+18,81.90000153,14.09000015,N/A
1.65188E+18,81.90000153,13.31000042,N/A
1.65188E+18,81.90000153,13.31000042,N/A
1.65188E+18,81.90000153,13.31000042,N/A
1.65188E+18,81.90000153,13.31000042,N/A
1.65188E+18,81.90000153,13.31000042,N/A
1.65188E+18,81.90000153,13.31000042,N/A
1.65188E+18,81.90000153,13.31000042,N/A
1.65188E+18,81.90000153,13.31000042,N/A
1.65188E+18,81.90000153,13.31000042,N/A
1.65188E+18,81.90000153,13.31000042,N/A
1.65188E+18,81.90000153,13.31000042,N/A
1.65188E+18,81.90000153,13.31000042,N/A
1.65188E+18,81.90000153,13.31000042,N/A
1.65188E+18,81.90000153,14.35999966,N/A
1.65188E+18,81.90000153,14.35999966,N/A
1.65188E+18,81.90000153,14.35999966,N/A
1.65188E+18,81.90000153,14.35999966,N/A
1.65188E+18,81.90000153,14.35999966,N/A
1.65188E+18,81.90000153,14.35999966,N/A
1.65188E+18,83.80000305,14.35999966,N/A
1.65188E+18,83.80000305,14.35999966,N/A
1.65188E+18,83.80000305,14.35999966,N/A
1.65188E+18,83.80000305,14.35999966,N/A
1.65188E+18,83.80000305,14.35999966,N/A
1.65188E+18,83.80000305,14.35999966,N/A
1.65188E+18,83.80000305,14.35999966,N/A
1.65188E+18,83.80000305,14.35999966,N/A
1.65188E+18,83.80000305,14.35999966,N/A
1.65188E+18,83.80000305,14.35999966,N/A
1.65188E+18,83.80000305,14.35999966,N/A
1.65188E+18,83.80000305,14.35999966,N/A
1.65188E+18,83.80000305,14.35999966,N/A
1.65188E+18,83.80000305,14.35999966,N/A
1.65188E+18,83.80000305,13.88000011,N/A
1.65188E+18,83.80000305,13.88000011,N/A
1.65188E+18,83.80000305,13.88000011,N/A
1.65188E+18,86,13.88000011,N/A
1.65188E+18,86,13.88000011,N/A
1.65188E+18,86,13.88000011,N/A
1.65188E+18,86,13.88000011,N/A
1.65188E+18,86,13.88000011,N/A
1.65188E+18,86,13.88000011,N/A
1.65188E+18,86,13.88000011,N/A
1.65188E+18,86,13.88000011,N/A
1.65188E+18,86,13.88000011,N/A
1.65188E+18,86,13.88000011,N/A
1.65188E+18,86,13.88000011,N/A
1.65188E+18,86,13.88000011,N/A
1.65188E+18,86,13.88000011,N/A
1.65188E+18,86,13.88000011,N/A
1.65188E+18,86,11.25,N/A
1.65188E+18,86,11.25,N/A
1.65188E+18,79.5,11.25,N/A
1.65188E+18,79.5,11.25,N/A
1.65188E+18,79.5,11.25,N/A
1.65188E+18,79.5,11.25,N/A
1.65188E+18,79.5,11.25,N/A
1.65188E+18,79.5,11.25,N/A
1.65188E+18,79.5,11.25,N/A
1.65188E+18,79.5,11.25,N/A
1.65188E+18,79.5,11.25,N/A
1.65188E+18,79.5,11.25,N/A
1.65188E+18,79.5,11.25,N/A
1.65188E+18,79.5,11.25,N/A
1.65188E+18,83.19999695,11.25,N/A
1.65188E+18,83.19999695,11.25,N/A
1.65188E+18,83.19999695,11.25,N/A
1.65188E+18,83.19999695,11.25,N/A
1.65188E+18,83.19999695,11.52000046,N/A
1.65188E+18,83.19999695,11.52000046,N/A
1.65188E+18,83.19999695,11.52000046,N/A
1.65188E+18,83.19999695,11.52000046,N/A
1.65188E+18,83.19999695,11.52000046,N/A
1.65188E+18,83.19999695,11.52000046,N/A
1.65188E+18,83.19999695,11.52000046,N/A
1.65188E+18,83.19999695,11.52000046,N/A
1.65188E+18,83.19999695,11.52000046,N/A
1.65188E+18,83.19999695,11.52000046,N/A
1.65188E+18,83.19999695,11.52000046,N/A
1.65188E+18,83.19999695,11.52000046,N/A
1.65188E+18,83.19999695,11.52000046,N/A
1.65188E+18,83.19999695,11.52000046,N/A
1.65188E+18,83.19999695,11.52000046,N/A
1.65188E+18,83.19999695,11.52000046,N/A
1.65188E+18,83.19999695,11.52000046,N/A
1.65188E+18,83.19999695,11.52000046,N/A
1.65188E+18,83.19999695,11.52000046,N/A
1.65188E+18,83.19999695,11.52000046,N/A
1.65188E+18,83.19999695,11.52000046,N/A
1.65188E+18,83.19999695,11.52000046,N/A
1.65188E+18,83.19999695,11.52000046,N/A
1.65188E+18,80.40000153,11.52000046,N/A
1.65188E+18,80.40000153,11.52000046,N/A
1.65188E+18,80.40000153,11.77999973,N/A
1.65188E+18,80.40000153,11.77999973,N/A
1.65188E+18,80.40000153,11.77999973,N/A
1.65188E+18,80.40000153,11.77999973,N/A
1.65188E+18,80.40000153,11.77999973,N/A
1.65188E+18,80.40000153,11.77999973,N/A
1.65188E+18,80.40000153,11.77999973,N/A
1.65188E+18,80.40000153,11.77999973,N/A
1.65188E+18,80.40000153,11.77999973,N/A
1.65188E+18,80.40000153,11.77999973,N/A
1.65188E+18,80.40000153,11.77999973,N/A
1.65188E+18,80.40000153,11.77999973,N/A
1.65188E+18,80.40000153,11.77999973,N/A
1.65188E+18,80.40000153,14.19999981,N/A
1.65188E+18,80.40000153,14.19999981,N/A
1.65188E+18,80.40000153,14.19999981,N/A
1.65188E+18,80.40000153,14.19999981,N/A
1.65188E+18,80.40000153,14.19999981,N/A
1.65188E+18,79.40000153,14.19999981,N/A
1.65188E+18,79.40000153,14.19999981,N/A
1.65188E+18,79.40000153,14.19999981,N/A
1.65188E+18,79.40000153,14.19999981,N/A
1.65188E+18,79.40000153,14.19999981,N/A
1.65188E+18,79.40000153,14.19999981,N/A
1.65188E+18,79.40000153,14.19999981,N/A
1.65188E+18,79.40000153,14.19999981,N/A
1.65188E+18,79.40000153,14.19999981,N/A
1.65188E+18,84.80000305,14.19999981,N/A
1.65188E+18,84.80000305,14.19999981,N/A
1.65188E+18,84.80000305,14.19999981,N/A
1.65188E+18,84.80000305,14.19999981,N/A
1.65188E+18,84.80000305,14.19999981,N/A
1.65188E+18,84.80000305,14.19999981,N/A
1.65188E+18,84.80000305,14.19999981,N/A
1.65188E+18,84.80000305,14.14000034,N/A
1.65188E+18,84.80000305,14.14000034,N/A
1.65188E+18,84.80000305,14.14000034,N/A
1.65188E+18,84.80000305,14.14000034,N/A
1.65188E+18,84.80000305,14.14000034,N/A
1.65188E+18,84.80000305,14.14000034,N/A
1.65188E+18,84.80000305,15.85999966,N/A
1.65188E+18,84.80000305,15.85999966,N/A
1.65188E+18,84.80000305,15.85999966,N/A
1.65188E+18,83.09999847,15.85999966,N/A
1.65188E+18,83.09999847,15.85999966,N/A
1.65188E+18,83.09999847,15.85999966,N/A
1.65188E+18,83.09999847,15.85999966,N/A
1.65188E+18,83.09999847,15.85999966,N/A
1.65188E+18,83.09999847,15.85999966,N/A
1.65188E+18,83.09999847,15.85999966,N/A
1.65188E+18,83.09999847,15.85999966,N/A
1.65188E+18,83.09999847,15.85999966,N/A
1.65188E+18,83.09999847,15.85999966,N/A
1.65188E+18,83.09999847,15.85999966,N/A
1.65188E+18,83.09999847,15.85999966,N/A
1.65188E+18,83.09999847,15.85999966,N/A
1.65188E+18,83.09999847,15.85999966,N/A
1.65188E+18,83.09999847,15.85999966,N/A
1.65188E+18,83.09999847,15.85999966,N/A
1.65188E+18,83.09999847,15.85999966,N/A
1.65188E+18,83.09999847,15.85999966,N/A
1.65188E+18,83.09999847,13.51000023,N/A
1.65188E+18,83.09999847,13.51000023,N/A
1.65188E+18,83.09999847,13.51000023,N/A
1.65188E+18,83.09999847,13.51000023,N/A
1.65188E+18,83.09999847,13.51000023,N/A
1.65188E+18,81.80000305,13.51000023,N/A
1.65188E+18,81.80000305,13.51000023,N/A
1.65188E+18,81.80000305,13.51000023,N/A
1.65188E+18,81.80000305,13.51000023,N/A
1.65188E+18,81.80000305,13.51000023,N/A
1.65188E+18,81.80000305,13.51000023,N/A
1.65188E+18,81.80000305,13.51000023,N/A
1.65188E+18,81.80000305,13.51000023,N/A
1.65188E+18,81.80000305,13.51000023,N/A
