time,robot_x_axis,robot_y_axis,robot_z_axis
1651873449910584211,0.035,-0.06,0.03
1651873449959534168,0.035,-0.06,0.03
1651873450008639574,0.035,-0.06,0.03
1651873450057826519,0.035,-0.06,0.03
1651873450107136964,0.035,-0.06,0.03
1651873450156276464,0.035,-0.06,0.03
1651873450205375194,0.035,-0.06,0.03
1651873450254483222,0.035,-0.06,0.03
1651873450303575754,0.035,-0.06,0.03
1651873450352715015,0.035,-0.06,0.03
1651873450401969671,0.035,-0.06,0.03
1651873450451007604,0.035,-0.06,0.03
1651873450504077672,0.035,-0.06,0.03
1651873450553452253,0.035,-0.06,0.03
1651873450602545976,0.035,-0.06,0.03
1651873450651620626,0.035,-0.06,0.03
1651873450700740098,0.035,-0.06,0.03
1651873450749932050,0.035,-0.06,0.03
1651873450799111604,0.035,-0.06,0.03
1651873450848323583,0.035,-0.06,0.03
1651873450897635221,0.035,-0.06,0.03
1651873450946672201,0.035,-0.06,0.03
1651873450995707273,0.035,-0.06,0.03
1651873451044927120,0.035,-0.06,0.03
1651873451094061851,0.035,-0.06,0.03
1651873451143243789,0.035,-0.06,0.03
1651873451192505598,0.035,-0.06,0.03
1651873451241503238,0.035,-0.06,0.03
1651873451290645837,0.035,-0.06,0.03
1651873451339866399,0.035,-0.06,0.03
1651873451389004468,0.035,-0.06,0.03
1651873451438143253,0.035,-0.06,0.03
1651873451487318277,0.035,-0.06,0.03
1651873451536402940,0.035,-0.06,0.03
1651873451585621595,0.035,-0.06,0.03
1651873451634750366,0.035,-0.06,0.03
1651873451683942317,0.035,-0.06,0.03
1651873451733096599,0.035,-0.06,0.03
1651873451782365083,0.035,-0.06,0.03
1651873451831435680,0.035,-0.06,0.03
1651873451880847215,0.035,-0.06,0.03
1651873451929714441,0.035,-0.06,0.03
1651873451982674360,0.035,-0.06,0.03
1651873452032048225,0.035,-0.06,0.03
1651873452081254720,0.035,-0.06,0.03
1651873452130459547,0.035,-0.06,0.03
1651873452179526090,0.035,-0.06,0.03
1651873452228722572,0.035,-0.06,0.03
1651873452277887582,0.035,-0.06,0.03
1651873452327136516,0.035,-0.06,0.03
1651873452376312017,0.035,-0.06,0.03
1651873452425574541,0.035,-0.06,0.03
1651873452474519729,0.035,-0.06,0.03
1651873452523669242,0.035,-0.06,0.03
1651873452572778940,0.035,-0.06,0.03
1651873452622070550,0.035,-0.06,0.03
1651873452671123266,0.035,-0.06,0.03
1651873452720852375,0.035,-0.06,0.03
1651873452769418478,0.035,-0.06,0.03
1651873452818436861,0.035,-0.06,0.03
1651873452867998361,0.035,-0.06,0.03
1651873452916998624,0.035,-0.06,0.03
1651873452966175079,0.035,-0.06,0.03
1651873453015328168,0.035,-0.06,0.03
