rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,voltage,current,wfs
1666980458919193602,,63,,1666980458,918874979,'',0.1899999976158142,0.0,7.699999809265137
1666980458969832146,,64,,1666980458,969562053,'',0.1899999976158142,0.0,7.699999809265137
1666980459019488496,,65,,1666980459,19140005,'',0.1899999976158142,0.0,7.699999809265137
1666980459069980278,,66,,1666980459,69665908,'',0.1899999976158142,0.0,7.699999809265137
1666980459112760882,,67,,1666980459,112514257,'',0.1899999976158142,0.0,7.699999809265137
1666980459120149004,,68,,1666980459,119878053,'',0.1899999976158142,0.0,7.699999809265137
1666980459128159439,,69,,1666980459,127841949,'',0.1899999976158142,0.0,7.699999809265137
1666980459169929156,,70,,1666980459,169631958,'',0.1899999976158142,0.0,7.699999809265137
1666980459220137248,,71,,1666980459,219819307,'',0.1899999976158142,0.0,7.699999809265137
1666980459270746463,,72,,1666980459,270361900,'',0.1899999976158142,0.0,7.699999809265137
1666980459320895379,,73,,1666980459,320644855,'',0.1899999976158142,0.0,7.699999809265137
1666980459370832851,,74,,1666980459,370547771,'',0.1899999976158142,0.0,7.699999809265137
1666980459421718726,,75,,1666980459,421024084,'',0.1899999976158142,0.0,7.699999809265137
1666980459429870710,,76,,1666980459,429194211,'',0.1899999976158142,0.0,7.699999809265137
1666980459471395982,,77,,1666980459,471158266,'',0.20000000298023224,0.0,7.699999809265137
1666980459522015970,,78,,1666980459,521737813,'',0.20000000298023224,0.0,7.699999809265137
1666980459572280000,,79,,1666980459,571878433,'',0.20000000298023224,0.0,7.699999809265137
1666980459621978005,,80,,1666980459,621697425,'',0.20000000298023224,0.0,7.699999809265137
1666980459672333711,,81,,1666980459,672003984,'',0.20000000298023224,0.0,7.699999809265137
1666980459722224003,,82,,1666980459,721865177,'',0.1899999976158142,0.0,7.699999809265137
1666980459727546926,,83,,1666980459,727224111,'',0.1899999976158142,0.0,7.699999809265137
1666980459772677880,,84,,1666980459,772386074,'',0.1899999976158142,0.0,7.699999809265137
1666980459823097137,,85,,1666980459,822818040,'',0.1899999976158142,0.0,7.699999809265137
1666980459872859807,,86,,1666980459,872495174,'',0.1899999976158142,0.0,7.699999809265137
1666980459923015908,,87,,1666980459,922699689,'',0.1899999976158142,0.0,7.699999809265137
1666980459973149931,,88,,1666980459,972868680,'',0.1899999976158142,0.0,7.699999809265137
1666980460023583764,,89,,1666980460,23208618,'',0.1899999976158142,0.0,7.699999809265137
1666980460073805496,,90,,1666980460,73516130,'',0.1899999976158142,0.0,7.699999809265137
1666980460116933768,,91,,1666980460,116639137,'',0.1899999976158142,0.0,7.699999809265137
1666980460123656168,,92,,1666980460,123419761,'',0.1899999976158142,0.0,7.699999809265137
1666980460132341346,,93,,1666980460,131918907,'',0.1899999976158142,0.0,7.699999809265137
1666980460174284618,,94,,1666980460,173958301,'',0.1899999976158142,0.0,7.699999809265137
1666980460224401029,,95,,1666980460,224155187,'',0.1899999976158142,0.0,7.699999809265137
1666980460274251040,,96,,1666980460,273977041,'',0.1899999976158142,0.0,7.699999809265137
