time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.name,.position,.velocity,.effort
2022/10/25/13:50:24.917398,112662,1666727424,915291547,,"['joint_1', 'joint_2', 'joint_3']","(0.0522, -0.0535, 0.0739)",(),()
2022/10/25/13:50:24.946741,112663,1666727424,943212270,,"['joint_1', 'joint_2', 'joint_3']","(0.0522, -0.0534, 0.0736)",(),()
2022/10/25/13:50:24.973382,112664,1666727424,971932888,,"['joint_1', 'joint_2', 'joint_3']","(0.0522, -0.0534, 0.0734)",(),()
2022/10/25/13:50:25.001578,112665,1666727425,228404,,"['joint_1', 'joint_2', 'joint_3']","(0.0522, -0.0534, 0.0731)",(),()
2022/10/25/13:50:25.030837,112666,1666727425,28653621,,"['joint_1', 'joint_2', 'joint_3']","(0.0522, -0.0533, 0.0728)",(),()
2022/10/25/13:50:25.058453,112667,1666727425,57398319,,"['joint_1', 'joint_2', 'joint_3']","(0.0521, -0.0533, 0.0725)",(),()
2022/10/25/13:50:25.087310,112668,1666727425,86014986,,"['joint_1', 'joint_2', 'joint_3']","(0.0521, -0.0533, 0.0722)",(),()
2022/10/25/13:50:25.116242,112669,1666727425,114717483,,"['joint_1', 'joint_2', 'joint_3']","(0.0521, -0.0532, 0.0719)",(),()
2022/10/25/13:50:25.144715,112670,1666727425,143384218,,"['joint_1', 'joint_2', 'joint_3']","(0.0521, -0.0532, 0.0717)",(),()
2022/10/25/13:50:25.177142,112671,1666727425,172445535,,"['joint_1', 'joint_2', 'joint_3']","(0.0521, -0.0531, 0.0714)",(),()
2022/10/25/13:50:25.207024,112672,1666727425,201812744,,"['joint_1', 'joint_2', 'joint_3']","(0.0521, -0.0531, 0.0711)",(),()
2022/10/25/13:50:25.233282,112673,1666727425,231390237,,"['joint_1', 'joint_2', 'joint_3']","(0.0521, -0.0531, 0.0708)",(),()
2022/10/25/13:50:25.260062,112674,1666727425,258436918,,"['joint_1', 'joint_2', 'joint_3']","(0.0521, -0.053, 0.0705)",(),()
2022/10/25/13:50:25.288006,112675,1666727425,286886692,,"['joint_1', 'joint_2', 'joint_3']","(0.0521, -0.053, 0.0702)",(),()
2022/10/25/13:50:25.316495,112676,1666727425,315464496,,"['joint_1', 'joint_2', 'joint_3']","(0.0521, -0.0529, 0.07)",(),()
2022/10/25/13:50:25.345676,112677,1666727425,344246387,,"['joint_1', 'joint_2', 'joint_3']","(0.0521, -0.0529, 0.0697)",(),()
2022/10/25/13:50:25.375106,112678,1666727425,372795104,,"['joint_1', 'joint_2', 'joint_3']","(0.0521, -0.0529, 0.0694)",(),()
2022/10/25/13:50:25.402967,112679,1666727425,401460886,,"['joint_1', 'joint_2', 'joint_3']","(0.0521, -0.0528, 0.0691)",(),()
2022/10/25/13:50:25.432508,112680,1666727425,431083679,,"['joint_1', 'joint_2', 'joint_3']","(0.0521, -0.0528, 0.0688)",(),()
2022/10/25/13:50:25.460284,112681,1666727425,459071397,,"['joint_1', 'joint_2', 'joint_3']","(0.0521, -0.0528, 0.0685)",(),()
2022/10/25/13:50:25.489135,112682,1666727425,487536668,,"['joint_1', 'joint_2', 'joint_3']","(0.0521, -0.0527, 0.0683)",(),()
2022/10/25/13:50:25.517081,112683,1666727425,516163587,,"['joint_1', 'joint_2', 'joint_3']","(0.0521, -0.0527, 0.068)",(),()
2022/10/25/13:50:25.546221,112684,1666727425,545165300,,"['joint_1', 'joint_2', 'joint_3']","(0.0521, -0.0526, 0.0677)",(),()
2022/10/25/13:50:25.575364,112685,1666727425,574034214,,"['joint_1', 'joint_2', 'joint_3']","(0.0521, -0.0526, 0.0674)",(),()
2022/10/25/13:50:25.604719,112686,1666727425,602453231,,"['joint_1', 'joint_2', 'joint_3']","(0.0521, -0.0526, 0.0671)",(),()
2022/10/25/13:50:25.632566,112687,1666727425,631051301,,"['joint_1', 'joint_2', 'joint_3']","(0.0521, -0.0525, 0.0668)",(),()
2022/10/25/13:50:25.666795,112688,1666727425,660015344,,"['joint_1', 'joint_2', 'joint_3']","(0.0521, -0.0525, 0.0666)",(),()
2022/10/25/13:50:25.692055,112689,1666727425,689154624,,"['joint_1', 'joint_2', 'joint_3']","(0.0521, -0.0524, 0.0663)",(),()
2022/10/25/13:50:25.718457,112690,1666727425,717410087,,"['joint_1', 'joint_2', 'joint_3']","(0.0521, -0.0524, 0.066)",(),()
2022/10/25/13:50:25.748616,112691,1666727425,745782852,,"['joint_1', 'joint_2', 'joint_3']","(0.0521, -0.0524, 0.0657)",(),()
2022/10/25/13:50:25.776969,112692,1666727425,774955272,,"['joint_1', 'joint_2', 'joint_3']","(0.0521, -0.0523, 0.0654)",(),()
2022/10/25/13:50:25.805099,112693,1666727425,803114175,,"['joint_1', 'joint_2', 'joint_3']","(0.0521, -0.0523, 0.0651)",(),()
2022/10/25/13:50:25.834124,112694,1666727425,831810712,,"['joint_1', 'joint_2', 'joint_3']","(0.0521, -0.0523, 0.0648)",(),()
2022/10/25/13:50:25.862705,112695,1666727425,860356092,,"['joint_1', 'joint_2', 'joint_3']","(0.0521, -0.0522, 0.0646)",(),()
2022/10/25/13:50:25.890370,112696,1666727425,889148235,,"['joint_1', 'joint_2', 'joint_3']","(0.0521, -0.0522, 0.0643)",(),()
2022/10/25/13:50:25.920188,112697,1666727425,917761087,,"['joint_1', 'joint_2', 'joint_3']","(0.0521, -0.0521, 0.064)",(),()
2022/10/25/13:50:25.948460,112698,1666727425,946392059,,"['joint_1', 'joint_2', 'joint_3']","(0.0521, -0.0521, 0.0637)",(),()
2022/10/25/13:50:25.976415,112699,1666727425,975166320,,"['joint_1', 'joint_2', 'joint_3']","(0.0521, -0.0521, 0.0634)",(),()
2022/10/25/13:50:26.004872,112700,1666727426,3770589,,"['joint_1', 'joint_2', 'joint_3']","(0.0521, -0.052, 0.0631)",(),()
2022/10/25/13:50:26.034429,112701,1666727426,32446622,,"['joint_1', 'joint_2', 'joint_3']","(0.0521, -0.052, 0.0629)",(),()
2022/10/25/13:50:26.063919,112702,1666727426,61111211,,"['joint_1', 'joint_2', 'joint_3']","(0.0521, -0.0519, 0.0626)",(),()
2022/10/25/13:50:26.091247,112703,1666727426,89784145,,"['joint_1', 'joint_2', 'joint_3']","(0.0521, -0.0519, 0.0623)",(),()
2022/10/25/13:50:26.119982,112704,1666727426,118757009,,"['joint_1', 'joint_2', 'joint_3']","(0.0521, -0.0519, 0.062)",(),()
2022/10/25/13:50:26.148297,112705,1666727426,147002220,,"['joint_1', 'joint_2', 'joint_3']","(0.0521, -0.0519, 0.0617)",(),()
2022/10/25/13:50:26.176361,112706,1666727426,175725221,,"['joint_1', 'joint_2', 'joint_3']","(0.0521, -0.0519, 0.0614)",(),()
2022/10/25/13:50:26.206013,112707,1666727426,204366445,,"['joint_1', 'joint_2', 'joint_3']","(0.0521, -0.0519, 0.0611)",(),()
2022/10/25/13:50:26.234530,112708,1666727426,233375549,,"['joint_1', 'joint_2', 'joint_3']","(0.0521, -0.0519, 0.0607)",(),()
2022/10/25/13:50:26.262682,112709,1666727426,261651277,,"['joint_1', 'joint_2', 'joint_3']","(0.0521, -0.0519, 0.0604)",(),()
2022/10/25/13:50:26.294463,112710,1666727426,290467500,,"['joint_1', 'joint_2', 'joint_3']","(0.0521, -0.0519, 0.06)",(),()
2022/10/25/13:50:26.321472,112711,1666727426,319478988,,"['joint_1', 'joint_2', 'joint_3']","(0.0521, -0.0519, 0.0597)",(),()
2022/10/25/13:50:26.350234,112712,1666727426,347745895,,"['joint_1', 'joint_2', 'joint_3']","(0.0521, -0.0519, 0.0593)",(),()
2022/10/25/13:50:26.377554,112713,1666727426,376460552,,"['joint_1', 'joint_2', 'joint_3']","(0.0521, -0.0519, 0.0589)",(),()
2022/10/25/13:50:26.407033,112714,1666727426,405222415,,"['joint_1', 'joint_2', 'joint_3']","(0.0521, -0.0519, 0.0586)",(),()
2022/10/25/13:50:26.436054,112715,1666727426,434573173,,"['joint_1', 'joint_2', 'joint_3']","(0.0521, -0.0519, 0.0582)",(),()
2022/10/25/13:50:26.465213,112716,1666727426,462751388,,"['joint_1', 'joint_2', 'joint_3']","(0.0521, -0.0519, 0.0578)",(),()
2022/10/25/13:50:26.492810,112717,1666727426,491256237,,"['joint_1', 'joint_2', 'joint_3']","(0.0521, -0.0519, 0.0575)",(),()
2022/10/25/13:50:26.520838,112718,1666727426,519752740,,"['joint_1', 'joint_2', 'joint_3']","(0.0521, -0.0519, 0.0571)",(),()
2022/10/25/13:50:26.549972,112719,1666727426,548493862,,"['joint_1', 'joint_2', 'joint_3']","(0.0521, -0.0519, 0.0567)",(),()
2022/10/25/13:50:26.577797,112720,1666727426,577058315,,"['joint_1', 'joint_2', 'joint_3']","(0.0521, -0.0519, 0.0564)",(),()
2022/10/25/13:50:26.606699,112721,1666727426,605761289,,"['joint_1', 'joint_2', 'joint_3']","(0.0521, -0.0519, 0.056)",(),()
2022/10/25/13:50:26.635230,112722,1666727426,634334325,,"['joint_1', 'joint_2', 'joint_3']","(0.0521, -0.0519, 0.0557)",(),()
2022/10/25/13:50:26.666850,112723,1666727426,663128614,,"['joint_1', 'joint_2', 'joint_3']","(0.0521, -0.0519, 0.0553)",(),()
2022/10/25/13:50:26.693324,112724,1666727426,692146778,,"['joint_1', 'joint_2', 'joint_3']","(0.0521, -0.0519, 0.0549)",(),()
2022/10/25/13:50:26.721768,112725,1666727426,720448017,,"['joint_1', 'joint_2', 'joint_3']","(0.0521, -0.0519, 0.0546)",(),()
2022/10/25/13:50:26.752079,112726,1666727426,749438285,,"['joint_1', 'joint_2', 'joint_3']","(0.0521, -0.0519, 0.0542)",(),()
2022/10/25/13:50:26.780160,112727,1666727426,778320312,,"['joint_1', 'joint_2', 'joint_3']","(0.0521, -0.0519, 0.0538)",(),()
2022/10/25/13:50:26.807917,112728,1666727426,806731700,,"['joint_1', 'joint_2', 'joint_3']","(0.0521, -0.0519, 0.0535)",(),()
2022/10/25/13:50:26.836667,112729,1666727426,835192203,,"['joint_1', 'joint_2', 'joint_3']","(0.0521, -0.0519, 0.0531)",(),()
2022/10/25/13:50:26.865155,112730,1666727426,863774061,,"['joint_1', 'joint_2', 'joint_3']","(0.0521, -0.0519, 0.0527)",(),()
2022/10/25/13:50:26.893264,112731,1666727426,892433166,,"['joint_1', 'joint_2', 'joint_3']","(0.0521, -0.0519, 0.0524)",(),()
2022/10/25/13:50:26.922373,112732,1666727426,921250343,,"['joint_1', 'joint_2', 'joint_3']","(0.0521, -0.0519, 0.052)",(),()
2022/10/25/13:50:26.951021,112733,1666727426,949877262,,"['joint_1', 'joint_2', 'joint_3']","(0.0521, -0.0519, 0.0517)",(),()
