time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.voltage,.current,.wfs
2022/10/21/16:48:38.366366,1,1666392518,366036891,,0.03999999910593033,0.0,7.699999809265137
2022/10/21/16:48:38.417264,2,1666392518,416874170,,0.03999999910593033,0.0,7.699999809265137
2022/10/21/16:48:38.418258,3,1666392518,417931318,,0.03999999910593033,0.0,7.699999809265137
2022/10/21/16:48:38.466736,4,1666392518,466443300,,0.03999999910593033,0.0,7.699999809265137
2022/10/21/16:48:38.517428,5,1666392518,517116069,,0.03999999910593033,0.0,7.699999809265137
2022/10/21/16:48:38.557438,6,1666392518,557182788,,0.03999999910593033,0.0,7.699999809265137
2022/10/21/16:48:38.567468,7,1666392518,567077398,,0.03999999910593033,0.0,7.699999809265137
2022/10/21/16:48:38.569333,8,1666392518,569132089,,0.03999999910593033,0.0,7.699999809265137
2022/10/21/16:48:38.617526,9,1666392518,617141723,,0.03999999910593033,0.0,7.699999809265137
2022/10/21/16:48:38.638859,10,1666392518,638469219,,0.03999999910593033,0.0,7.699999809265137
2022/10/21/16:48:38.652859,11,1666392518,652534961,,0.03999999910593033,0.0,7.699999809265137
2022/10/21/16:48:38.667636,12,1666392518,667315244,,0.03999999910593033,0.0,7.699999809265137
2022/10/21/16:48:38.684851,13,1666392518,684566020,,0.03999999910593033,0.0,7.699999809265137
2022/10/21/16:48:38.718559,14,1666392518,718189239,,0.03999999910593033,0.0,7.699999809265137
2022/10/21/16:48:38.759564,15,1666392518,759212732,,0.03999999910593033,0.0,7.699999809265137
2022/10/21/16:48:38.768184,16,1666392518,767864227,,0.03999999910593033,0.0,7.699999809265137
2022/10/21/16:48:38.818668,17,1666392518,818358421,,0.03999999910593033,0.0,7.699999809265137
2022/10/21/16:48:38.868326,18,1666392518,867984056,,0.03999999910593033,0.0,7.699999809265137
2022/10/21/16:48:38.870386,19,1666392518,870011091,,0.03999999910593033,0.0,7.699999809265137
2022/10/21/16:48:38.918620,20,1666392518,918234586,,0.03999999910593033,0.0,7.699999809265137
2022/10/21/16:48:38.968808,21,1666392518,968418598,,0.03999999910593033,0.0,7.699999809265137
2022/10/21/16:48:38.986841,22,1666392518,986541748,,0.03999999910593033,0.0,7.699999809265137
2022/10/21/16:48:39.019592,23,1666392519,19217967,,0.03999999910593033,0.0,7.699999809265137
2022/10/21/16:48:39.028940,24,1666392519,28652429,,0.03999999910593033,0.0,7.699999809265137
2022/10/21/16:48:39.069735,25,1666392519,69365262,,0.03999999910593033,0.0,7.699999809265137
2022/10/21/16:48:39.085883,26,1666392519,85557699,,0.03999999910593033,0.0,7.699999809265137
2022/10/21/16:48:39.098500,27,1666392519,98295211,,0.03999999910593033,0.0,7.699999809265137
2022/10/21/16:48:39.112980,28,1666392519,112613916,,0.03999999910593033,0.0,7.699999809265137
2022/10/21/16:48:39.119449,29,1666392519,119153499,,0.03999999910593033,0.0,7.699999809265137
2022/10/21/16:48:39.169701,30,1666392519,169407129,,0.03999999910593033,0.0,7.699999809265137
2022/10/21/16:48:39.219986,31,1666392519,219683408,,0.03999999910593033,0.0,7.699999809265137
2022/10/21/16:48:39.270219,32,1666392519,269872903,,0.03999999910593033,0.0,7.699999809265137
2022/10/21/16:48:39.277424,33,1666392519,277047395,,0.03999999910593033,0.0,7.699999809265137
2022/10/21/16:48:39.321526,34,1666392519,321148633,,0.03999999910593033,0.0,7.699999809265137
2022/10/21/16:48:39.370593,35,1666392519,370291709,,0.03999999910593033,0.0,7.699999809265137
2022/10/21/16:48:39.420757,36,1666392519,420425891,,0.03999999910593033,0.0,7.699999809265137
2022/10/21/16:48:39.421768,37,1666392519,421520709,,0.03999999910593033,0.0,7.699999809265137
2022/10/21/16:48:39.470729,38,1666392519,470454216,,0.03999999910593033,0.0,7.699999809265137
2022/10/21/16:48:39.520788,39,1666392519,520525932,,0.03999999910593033,0.0,7.699999809265137
2022/10/21/16:48:39.561129,40,1666392519,560899257,,0.03999999910593033,0.0,7.699999809265137
2022/10/21/16:48:39.571660,41,1666392519,571361541,,0.03999999910593033,0.0,7.699999809265137
2022/10/21/16:48:39.573723,42,1666392519,573379278,,0.03999999910593033,0.0,7.699999809265137
2022/10/21/16:48:39.621219,43,1666392519,620872974,,0.03999999910593033,0.0,7.699999809265137
2022/10/21/16:48:39.642523,44,1666392519,642251253,,0.03999999910593033,0.0,7.699999809265137
2022/10/21/16:48:39.657013,45,1666392519,656723499,,0.03999999910593033,0.0,7.699999809265137
2022/10/21/16:48:39.671512,46,1666392519,671123027,,0.03999999910593033,0.0,7.699999809265137
2022/10/21/16:48:39.688744,47,1666392519,688315868,,0.03999999910593033,0.0,7.699999809265137
2022/10/21/16:48:39.721559,48,1666392519,721254587,,0.03999999910593033,0.0,7.699999809265137
2022/10/21/16:48:39.763379,49,1666392519,763019800,,0.03999999910593033,0.0,7.699999809265137
2022/10/21/16:48:39.772068,50,1666392519,771736383,,0.03999999910593033,0.0,7.699999809265137
