00:36.6	550
00:36.6	550
00:36.6	1545
00:36.6	1545
00:36.6	1561
00:36.7	1550
00:36.7	1558
00:36.7	1568
00:36.7	1566
00:36.7	1556
00:36.8	1556
00:36.8	1575
00:36.8	1577
00:36.8	1561
00:36.8	1566
00:36.9	1581
00:36.9	1578
00:36.9	1588
00:36.9	1586
00:36.9	1586
00:37.0	1619
00:37.0	1531
00:37.0	1547
00:37.0	1564
00:37.0	1570
00:37.1	1546
00:37.1	1546
00:37.1	1556
00:37.1	1556
00:37.1	1583
00:37.2	1586
00:37.2	1583
00:37.2	1550
00:37.2	1549
00:37.2	1555
00:37.3	1555
00:37.3	1575
00:37.3	1587
00:37.3	1569
00:37.3	1563
00:37.4	1560
00:37.4	1550
00:37.4	1563
00:37.4	1563
00:37.4	1563
00:37.5	1550
00:37.5	1554
00:37.5	1544
00:37.5	1520
00:37.5	1519
00:37.6	1528
00:37.6	1528
00:37.6	1535
00:37.6	1535
00:37.6	1525
00:37.7	1554
00:37.7	1548
00:37.7	1554
00:37.7	1576
00:37.7	1576
00:37.8	1576
00:37.8	1535
00:37.8	1531
00:37.8	1515
00:37.8	1502
00:37.9	1469
00:37.9	1430
00:37.9	1429
00:37.9	1422
00:37.9	1422
00:38.0	1414
00:38.0	1403
00:38.0	1404
00:38.0	1398
00:38.0	1396
00:38.1	1392
00:38.1	1392
00:38.1	1358
00:38.1	1358
00:38.1	1354
00:38.2	1354
00:38.2	1350
00:38.2	1352
00:38.2	1333
00:38.2	1333
00:38.3	1333
00:38.3	1329
00:38.3	1323
00:38.3	1316
00:38.3	1306
00:38.4	1301
00:38.4	1297
00:38.4	1293
00:38.4	1291
00:38.4	1291
00:38.5	1289
00:38.5	1289
00:38.5	1291
00:38.5	1287
00:38.5	1288
00:38.6	1281
00:38.6	1281
00:38.6	1282
00:38.6	1282
00:38.6	1277
00:38.7	1278
00:38.7	1278
00:38.7	1277
00:38.7	1276
00:38.7	1277
00:38.8	1277
00:38.8	1278
00:38.8	1283
00:38.8	1266
00:38.8	1263
00:38.9	1268
00:38.9	1265
00:38.9	1260
00:38.9	1245
00:38.9	1245
00:39.0	1243
00:39.0	1246
00:39.0	1243
00:39.0	1235
00:39.0	1237
00:39.1	1233
00:39.1	1233
00:39.1	1232
00:39.1	1232
00:39.1	1228
00:39.2	1220
00:39.2	1203
00:39.2	1134
00:39.2	1130
00:39.2	1133
00:39.3	1133
00:39.3	1120
00:39.3	1116
00:39.3	1115
00:39.3	1120
00:39.4	1122
00:39.4	1113
00:39.4	1111
00:39.4	1110
00:39.4	1110
00:39.5	1111
00:39.5	1103
00:39.5	1103
00:39.5	1098
00:39.5	1090
00:39.6	1081
00:39.6	1081
00:39.6	1079
00:39.6	1079
00:39.6	1072
00:39.7	1072
00:39.7	1071
00:39.7	1067
00:39.7	1065
00:39.7	1066
00:39.8	1066
00:39.8	1068
00:39.8	1063
00:39.8	1063
00:39.8	1062
00:39.9	1057
00:39.9	1054
00:39.9	1053
00:39.9	1055
00:39.9	1055
00:40.0	1045
00:40.0	1046
00:40.0	1044
00:40.0	1042
00:40.0	1038
00:40.1	1039
00:40.1	1039
00:40.1	1031
00:40.1	1031
00:40.1	1028
00:40.2	1024
00:40.2	1017
00:40.2	1016
00:40.2	1015
00:40.2	1014
00:40.3	1014
00:40.3	1012
00:40.3	1012
00:40.3	1007
00:40.3	1006
00:40.4	1001
00:40.4	1000
00:40.4	999
00:40.4	996
00:40.4	996
00:40.5	991
00:40.5	991
00:40.5	988
00:40.5	984
00:40.5	983
00:40.6	981
00:40.6	981
00:40.6	981
00:40.6	981
00:40.6	973
00:40.7	974
00:40.7	971
00:40.7	968
00:40.7	966
00:40.7	961
00:40.8	961
00:40.8	959
00:40.8	958
00:40.8	963
