time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.data.data
2022/10/25/13:50:25.012643,1,1666727425,7074558,,-250.0
2022/10/25/13:50:25.213798,2,1666727425,207074558,,-250.0
2022/10/25/13:50:25.409875,3,1666727425,407074558,,-250.0
2022/10/25/13:50:25.611025,4,1666727425,605074558,,-250.0
2022/10/25/13:50:25.811497,5,1666727425,805074558,,-250.0
2022/10/25/13:50:26.007926,6,1666727426,5074558,,-250.0
2022/10/25/13:50:26.208863,7,1666727426,204074558,,-250.0
2022/10/25/13:50:26.409241,8,1666727426,403074558,,-250.0
2022/10/25/13:50:26.609782,9,1666727426,606074558,,-250.0
2022/10/25/13:50:26.810651,10,1666727426,804843082,,-250.0
2022/10/25/13:50:27.007291,11,1666727427,3843082,,-250.0
2022/10/25/13:50:27.208119,12,1666727427,203843082,,-250.0
2022/10/25/13:50:27.408559,13,1666727427,402843082,,-250.0
2022/10/25/13:50:27.605172,14,1666727427,601843082,,-250.0
2022/10/25/13:50:27.806121,15,1666727427,801843082,,-250.0
2022/10/25/13:50:28.006798,16,1666727428,843082,,-250.0
2022/10/25/13:50:28.203267,17,1666727428,200843082,,-250.0
2022/10/25/13:50:28.404195,18,1666727428,399843082,,-250.0
2022/10/25/13:50:28.604690,19,1666727428,598843082,,-250.0
2022/10/25/13:50:28.805508,20,1666727428,798843082,,-250.0
2022/10/25/13:50:28.920146,21,1666727428,913843082,,-250.0
2022/10/25/13:50:29.120951,22,1666727429,114843082,,-250.0
2022/10/25/13:50:29.321616,23,1666727429,314505876,,-250.0
2022/10/25/13:50:29.518344,24,1666727429,514505876,,-250.0
2022/10/25/13:50:29.719032,25,1666727429,713505876,,-250.0
2022/10/25/13:50:29.919779,26,1666727429,913505876,,-250.0
2022/10/25/13:50:30.118163,27,1666727430,112505876,,-250.0
2022/10/25/13:50:30.316890,28,1666727430,311505876,,-250.0
2022/10/25/13:50:30.464529,29,1666727430,460505876,,-250.0
2022/10/25/13:50:30.665028,30,1666727430,660505876,,-250.0
2022/10/25/13:50:30.866155,31,1666727430,858505876,,-250.0
2022/10/25/13:50:31.006721,32,1666727430,858505876,,-250.0
2022/10/25/13:50:31.012236,33,1666727430,858505876,,-250.0
2022/10/25/13:50:31.037261,34,1666727431,29505876,,-250.0
2022/10/25/13:50:31.234380,35,1666727431,228505876,,-250.0
2022/10/25/13:50:31.435190,36,1666727431,428505876,,-250.0
2022/10/25/13:50:31.636015,37,1666727431,630505876,,-250.0
2022/10/25/13:50:31.791485,38,1666727431,787904233,,-250.0
2022/10/25/13:50:31.995369,39,1666727431,986904233,,-250.0
