time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.data.data
2022/10/25/13:50:25.016619,1,1666727425,7074558,,-150.2932586669922
2022/10/25/13:50:25.217701,2,1666727425,207074558,,-165.9335479736328
2022/10/25/13:50:25.413796,3,1666727425,407074558,,-171.79864501953125
2022/10/25/13:50:25.614830,4,1666727425,605074558,,-39.833831787109375
2022/10/25/13:50:25.815315,5,1666727425,805074558,,-47.653961181640625
2022/10/25/13:50:26.012073,6,1666727426,5074558,,-63.29423141479492
2022/10/25/13:50:26.212906,7,1666727426,203074558,,-186.46139526367188
2022/10/25/13:50:26.413432,8,1666727426,403074558,,-181.5738067626953
2022/10/25/13:50:26.614117,9,1666727426,605074558,,-181.5738067626953
2022/10/25/13:50:26.814686,10,1666727426,803843082,,-88.70967864990234
2022/10/25/13:50:27.015553,11,1666727427,3843082,,-181.5738067626953
2022/10/25/13:50:27.211939,12,1666727427,203843082,,-68.18181610107422
2022/10/25/13:50:27.412616,13,1666727427,402843082,,-178.64125061035156
2022/10/25/13:50:27.613335,14,1666727427,601843082,,-52.541542053222656
2022/10/25/13:50:27.810054,15,1666727427,801843082,,-82.8445816040039
2022/10/25/13:50:28.010642,16,1666727428,843082,,-73.06940460205078
2022/10/25/13:50:28.211346,17,1666727428,199843082,,14.907145500183105
2022/10/25/13:50:28.408159,18,1666727428,399843082,,-53.51905822753906
2022/10/25/13:50:28.608719,19,1666727428,598843082,,-33.968711853027344
2022/10/25/13:50:28.809381,20,1666727428,798843082,,-45.69892883300781
2022/10/25/13:50:28.924196,21,1666727428,913843082,,-46.67644500732422
2022/10/25/13:50:29.124918,22,1666727429,114843082,,-47.653961181640625
2022/10/25/13:50:29.325420,23,1666727429,314505876,,-74.04692077636719
2022/10/25/13:50:29.526156,24,1666727429,514505876,,-59.3841667175293
2022/10/25/13:50:29.724379,25,1666727429,713505876,,-178.64125061035156
2022/10/25/13:50:29.923667,26,1666727429,912505876,,-173.75367736816406
2022/10/25/13:50:30.124294,27,1666727430,112505876,,-64.2717514038086
2022/10/25/13:50:30.321212,28,1666727430,311505876,,-59.3841667175293
2022/10/25/13:50:30.472354,29,1666727430,460505876,,-161.0459442138672
2022/10/25/13:50:30.669118,30,1666727430,660505876,,-32.01367950439453
2022/10/25/13:50:30.870436,31,1666727430,858505876,,-178.64125061035156
2022/10/25/13:50:31.008003,32,1666727430,858505876,,-178.64125061035156
2022/10/25/13:50:31.013542,33,1666727430,858505876,,-178.64125061035156
2022/10/25/13:50:31.042028,34,1666727431,29505876,,-32.01367950439453
2022/10/25/13:50:31.238706,35,1666727431,228505876,,-191.34898376464844
2022/10/25/13:50:31.439306,36,1666727431,428505876,,-63.29423141479492
2022/10/25/13:50:31.640280,37,1666727431,629505876,,-47.653961181640625
2022/10/25/13:50:31.795459,38,1666727431,786904233,,-36.90126037597656
2022/10/25/13:50:31.997782,39,1666727431,986904233,,-33.968711853027344
