time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.data.data
2022/10/21/16:48:38.515188,1,1666392518,510215068,,23.94917106628418
2022/10/21/16:48:38.715930,2,1666392518,713215068,,23.399316787719727
2022/10/21/16:48:38.916572,3,1666392518,912057647,,23.03274917602539
2022/10/21/16:48:39.117367,4,1666392519,110057647,,24.010265350341797
2022/10/21/16:48:39.313967,5,1666392519,310057647,,24.071361541748047
2022/10/21/16:48:39.514688,6,1666392519,509057647,,24.071359634399414
2022/10/21/16:48:39.715270,7,1666392519,708057647,,24.010265350341797
2022/10/21/16:48:39.912037,8,1666392519,908057647,,24.19355010986328
2022/10/21/16:48:40.112685,9,1666392520,107057647,,24.2546443939209
2022/10/21/16:48:40.313317,10,1666392520,306057647,,23.643695831298828
2022/10/21/16:48:40.509923,11,1666392520,506057647,,22.421804428100586
2022/10/21/16:48:40.710672,12,1666392520,705057647,,23.643695831298828
2022/10/21/16:48:40.911330,13,1666392520,904057647,,24.01026725769043
2022/10/21/16:48:41.107920,14,1666392521,103057647,,24.376834869384766
2022/10/21/16:48:41.308868,15,1666392521,306057647,,22.910558700561523
2022/10/21/16:48:41.509526,16,1666392521,505867729,,23.826982498168945
2022/10/21/16:48:41.710146,17,1666392521,704867729,,24.19355010986328
2022/10/21/16:48:41.910737,18,1666392521,904867729,,24.6212158203125
2022/10/21/16:48:42.107496,19,1666392522,102867729,,24.499021530151367
2022/10/21/16:48:42.308110,20,1666392522,302867729,,23.521507263183594
2022/10/21/16:48:42.504793,21,1666392522,502867729,,24.193552017211914
2022/10/21/16:48:42.705577,22,1666392522,700867729,,24.01026725769043
2022/10/21/16:48:42.906127,23,1666392522,900867729,,24.560117721557617
2022/10/21/16:48:43.102791,24,1666392523,99867729,,25.109973907470703
2022/10/21/16:48:43.303636,25,1666392523,298867729,,23.582603454589844
2022/10/21/16:48:43.504226,26,1666392523,498867729,,23.521509170532227
2022/10/21/16:48:43.700870,27,1666392523,697867729,,24.92669105529785
2022/10/21/16:48:43.906342,28,1666392523,900867729,,23.94917106628418
2022/10/21/16:48:44.102314,29,1666392524,98286088,,24.560117721557617
2022/10/21/16:48:44.303118,30,1666392524,298286088,,24.01026725769043
2022/10/21/16:48:44.503661,31,1666392524,498286088,,24.071361541748047
2022/10/21/16:48:44.700302,32,1666392524,696286088,,23.64369773864746
2022/10/21/16:48:44.901043,33,1666392524,896286088,,24.560117721557617
2022/10/21/16:48:45.101700,34,1666392525,95286088,,24.682310104370117
2022/10/21/16:48:45.298893,35,1666392525,294286088,,23.94917106628418
2022/10/21/16:48:45.498938,36,1666392525,494286088,,24.376834869384766
2022/10/21/16:48:45.699666,37,1666392525,693286088,,24.437931060791016
2022/10/21/16:48:45.896213,38,1666392525,892286088,,23.765884399414062
2022/10/21/16:48:46.097360,39,1666392526,92286088,,23.52150535583496
2022/10/21/16:48:46.297676,40,1666392526,291286088,,23.888076782226562
2022/10/21/16:48:46.498401,41,1666392526,492286088,,24.682308197021484
2022/10/21/16:48:46.699149,42,1666392526,693608936,,24.25464630126953
2022/10/21/16:48:46.895660,43,1666392526,893608936,,23.643695831298828
2022/10/21/16:48:47.096575,44,1666392527,92608936,,24.193552017211914
