time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.data.data
2022/10/21/16:48:47.698714,47,1666392527,694608936,,18.817211151123047
2022/10/21/16:48:47.899253,48,1666392527,894608936,,17.83969497680664
2022/10/21/16:48:48.095744,49,1666392528,93608936,,18.817211151123047
2022/10/21/16:48:48.296468,50,1666392528,292608936,,19.794727325439453
2022/10/21/16:48:48.497128,51,1666392528,492608936,,15.884661674499512
2022/10/21/16:48:48.695889,52,1666392528,691608936,,20.77224349975586
2022/10/21/16:48:48.894569,53,1666392528,890608936,,18.817211151123047
2022/10/21/16:48:49.095470,54,1666392529,92608936,,15.884661674499512
2022/10/21/16:48:49.295992,55,1666392529,291464628,,15.884661674499512
2022/10/21/16:48:49.496828,56,1666392529,491464628,,15.884661674499512
2022/10/21/16:48:49.693324,57,1666392529,689464628,,19.794727325439453
2022/10/21/16:48:49.894085,58,1666392529,889464628,,18.817211151123047
2022/10/21/16:48:50.094760,59,1666392530,88464628,,18.817211151123047
2022/10/21/16:48:50.291416,60,1666392530,287464628,,15.884661674499512
2022/10/21/16:48:50.492102,61,1666392530,487464628,,19.794727325439453
2022/10/21/16:48:50.692762,62,1666392530,686464628,,17.83969497680664
2022/10/21/16:48:50.889314,63,1666392530,885464628,,20.77224349975586
2022/10/21/16:48:51.090043,64,1666392531,85464628,,17.83969497680664
2022/10/21/16:48:51.291235,65,1666392531,284464628,,15.884661674499512
2022/10/21/16:48:51.487317,66,1666392531,483464628,,17.83969497680664
2022/10/21/16:48:51.692303,67,1666392531,685464628,,17.83969497680664
2022/10/21/16:48:51.888839,68,1666392531,885032714,,18.817211151123047
2022/10/21/16:48:52.089492,69,1666392532,84032714,,14.907145500183105
2022/10/21/16:48:52.290693,70,1666392532,283032714,,18.817211151123047
2022/10/21/16:48:52.486911,71,1666392532,483032714,,17.83969497680664
2022/10/21/16:48:52.687495,72,1666392532,681032714,,20.77224349975586
2022/10/21/16:48:52.888321,73,1666392532,881032714,,19.794727325439453
2022/10/21/16:48:53.084931,74,1666392533,81032714,,15.884661674499512
2022/10/21/16:48:53.286412,75,1666392533,279032714,,20.77224349975586
2022/10/21/16:48:53.486659,76,1666392533,479032714,,17.83969497680664
2022/10/21/16:48:53.682850,77,1666392533,678032714,,16.862178802490234
2022/10/21/16:48:53.883596,78,1666392533,877032714,,18.817211151123047
2022/10/21/16:48:54.084241,79,1666392534,77032714,,18.817211151123047
2022/10/21/16:48:54.284930,80,1666392534,279032714,,14.907145500183105
2022/10/21/16:48:54.485548,81,1666392534,478598655,,20.77224349975586
2022/10/21/16:48:54.682294,82,1666392534,677598655,,17.83969497680664
2022/10/21/16:48:54.883336,83,1666392534,877598655,,20.77224349975586
2022/10/21/16:48:55.083661,84,1666392535,76598655,,16.862178802490234
2022/10/21/16:48:55.282289,85,1666392535,275598655,,17.83969497680664
