rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,data,data
1666980456326821647,,1,,1666980456,318883642,'',,33.47995376586914
1666980456527374255,,2,,1666980456,516883642,'',,34.45746994018555
1666980456728080922,,3,,1666980456,716883642,'',,33.47995376586914
1666980456928827426,,4,,1666980456,918883642,'',,35.43498611450195
1666980457129484045,,5,,1666980457,118334592,'',,30.547405242919922
1666980457326082931,,6,,1666980457,318334592,'',,37.390018463134766
1666980457527052275,,7,,1666980457,517334592,'',,36.41250228881836
1666980457727329703,,8,,1666980457,716334592,'',,32.502437591552734
1666980457923957840,,9,,1666980457,915334592,'',,35.43498611450195
1666980458124707057,,10,,1666980458,115334592,'',,34.45746994018555
1666980458326138163,,11,,1666980458,314334592,'',,31.524921417236328
1666980458522037825,,12,,1666980458,513334592,'',,35.43498611450195
1666980458722860574,,13,,1666980458,713334592,'',,30.547405242919922
1666980458923370022,,14,,1666980458,911334592,'',,30.547405242919922
1666980459119959939,,15,,1666980459,111334592,'',,33.47995376586914
1666980459320734707,,16,,1666980459,311334592,'',,34.45746994018555
1666980459521476686,,17,,1666980459,512334592,'',,33.47995376586914
1666980459722213825,,18,,1666980459,712423313,'',,32.502437591552734
1666980459922907336,,19,,1666980459,912423313,'',,29.569889068603516
1666980460119622343,,20,,1666980460,110423313,'',,34.45746994018555
1666980460320072385,,21,,1666980460,310423313,'',,35.43498611450195
1666980460520768135,,22,,1666980460,509423313,'',,31.524921417236328
1666980460717493624,,23,,1666980460,709423313,'',,31.524921417236328
1666980460918180028,,24,,1666980460,908423313,'',,30.547405242919922
1666980461118821694,,25,,1666980461,107423313,'',,32.502437591552734
1666980461315796261,,26,,1666980461,307423313,'',,35.43498611450195
1666980461516229843,,27,,1666980461,505423313,'',,32.502437591552734
1666980461712926676,,28,,1666980461,705423313,'',,31.524921417236328
1666980461913606838,,29,,1666980461,905423313,'',,33.47995376586914
1666980462114344620,,30,,1666980462,106423313,'',,28.59237289428711
1666980462314941101,,31,,1666980462,306335033,'',,34.45746994018555
1666980462515625849,,32,,1666980462,505335033,'',,35.43498611450195
1666980462712612104,,33,,1666980462,704335033,'',,35.43498611450195
1666980462912911028,,34,,1666980462,904335033,'',,31.524921417236328
1666980463113706398,,35,,1666980463,103335033,'',,33.47995376586914
1666980463310496736,,36,,1666980463,302335033,'',,43.2551383972168
1666980463510899528,,37,,1666980463,502335033,'',,32.502437591552734
1666980463711640147,,38,,1666980463,701335033,'',,34.45746994018555
1666980463908478549,,39,,1666980463,900335033,'',,27.614856719970703
1666980464108944798,,40,,1666980464,99335033,'',,31.524921417236328
1666980464309803042,,41,,1666980464,299335033,'',,27.614856719970703
1666980464506721840,,42,,1666980464,498335033,'',,32.502437591552734
1666980464711295992,,43,,1666980464,700335033,'',,31.524921417236328
1666980464907836175,,44,,1666980464,899301589,'',,29.569889068603516
1666980465108602157,,45,,1666980465,97301589,'',,31.524921417236328
1666980465309380434,,46,,1666980465,297301589,'',,31.524921417236328
1666980465505948801,,47,,1666980465,497301589,'',,299.3646240234375
1666980465706528159,,48,,1666980465,695301589,'',,55.96284866333008
1666980465907252393,,49,,1666980465,895301589,'',,111.68132019042969
1666980466103918219,,50,,1666980466,95301589,'',,187.92767333984375
1666980466304599966,,51,,1666980466,293301589,'',,186.95016479492188
1666980466505276763,,52,,1666980466,493301589,'',,151.75953674316406
1666980466701802089,,53,,1666980466,693301589,'',,202.59042358398438
1666980466904328427,,54,,1666980466,891301589,'',,97.0185775756836
1666980467103363853,,55,,1666980467,91301589,'',,133.18670654296875
1666980467303969246,,56,,1666980467,293301589,'',,137.09677124023438
1666980467504628964,,57,,1666980467,494518651,'',,131.23167419433594
1666980467701526794,,58,,1666980467,693518651,'',,50.09775161743164
1666980467901919886,,59,,1666980467,892518651,'',,46.187686920166016
1666980468102618745,,60,,1666980468,92518651,'',,97.99609375
1666980468299315649,,61,,1666980468,290518651,'',,36.41250228881836
1666980468500218562,,62,,1666980468,490518651,'',,74.53568267822266
1666980468700740438,,63,,1666980468,690518651,'',,71.60313415527344
1666980468897330956,,64,,1666980468,888518651,'',,56.940364837646484
1666980469098241811,,65,,1666980469,88518651,'',,39.34507369995117
1666980469298814000,,66,,1666980469,287518651,'',,59.8729133605957
1666980469495481237,,67,,1666980469,486518651,'',,42.27762222290039
1666980469696124022,,68,,1666980469,686518651,'',,45.21017074584961
1666980469896855348,,69,,1666980469,888518651,'',,74.53568267822266
1666980470097460365,,70,,1666980470,88940919,'',,46.187686920166016
1666980470298089471,,71,,1666980470,287940919,'',,42.27762222290039
1666980470494921984,,72,,1666980470,487940919,'',,39.34507369995117
1666980470695605668,,73,,1666980470,686940919,'',,43.2551383972168
1666980470896175396,,74,,1666980470,885940919,'',,84.31084442138672
1666980471092898535,,75,,1666980471,85940919,'',,47.16520309448242
1666980471293619854,,76,,1666980471,283940919,'',,96.04106140136719
1666980471494113504,,77,,1666980471,483940919,'',,45.21017074584961
1666980471690918382,,78,,1666980471,683940919,'',,72.58065032958984
1666980471891923194,,79,,1666980471,881940919,'',,80.4007797241211
1666980472088274646,,80,,1666980472,81940919,'',,87.24339294433594
1666980472289907602,,81,,1666980472,280940919,'',,91.15348052978516
1666980472490316030,,82,,1666980472,482940919,'',,92.13099670410156
1666980472690386804,,83,,1666980472,681879343,'',,72.58065032958984
1666980472891403147,,84,,1666980472,881879343,'',,54.007816314697266
1666980473087683175,,85,,1666980473,80879343,'',,60.85042953491211
1666980473288318537,,86,,1666980473,279879343,'',,100.92864227294922
1666980473488868706,,87,,1666980473,479879343,'',,53.03030014038086
1666980473687863038,,88,,1666980473,677879343,'',,43.2551383972168
1666980473886313995,,89,,1666980473,877879343,'',,88.22093200683594
1666980474087367298,,90,,1666980474,77879343,'',,61.827945709228516
1666980474283699160,,91,,1666980474,275879343,'',,91.15348052978516
1666980474484449323,,92,,1666980474,475879343,'',,96.04106140136719
1666980474685280958,,93,,1666980474,674879343,'',,86.26587677001953
1666980474881868220,,94,,1666980474,873879343,'',,158.60214233398438
1666980475086444576,,95,,1666980475,75879343,'',,156.64710998535156
1666980475283924390,,96,,1666980475,274664939,'',,154.69207763671875
1666980475484110828,,97,,1666980475,474664939,'',,111.68132019042969
1666980475684505155,,98,,1666980475,672664939,'',,183.04010009765625
1666980475881115685,,99,,1666980475,872664939,'',,149.80450439453125
1666980476081858660,,100,,1666980476,72664939,'',,197.7028350830078
1666980476282611463,,101,,1666980476,270664939,'',,199.65786743164062
1666980476479220899,,102,,1666980476,470664939,'',,288.6119384765625
1666980476679989890,,103,,1666980476,669664939,'',,299.3646240234375
1666980476880463063,,104,,1666980476,868664939,'',,318.9149475097656
1666980477077413754,,105,,1666980477,68664939,'',,265.1515197753906
1666980477277942081,,106,,1666980477,267664939,'',,296.43206787109375
1666980477478788055,,107,,1666980477,466664939,'',,306.2072448730469
1666980477679158780,,108,,1666980477,668664939,'',,325.7575988769531
1666980477880181871,,109,,1666980477,868922294,'',,294.47705078125
1666980478077156889,,110,,1666980478,67922294,'',,316.95989990234375
1666980478277244086,,111,,1666980478,266922294,'',,324.780029296875
1666980478478051786,,112,,1666980478,466922294,'',,309.1397705078125
1666980478674759267,,113,,1666980478,664922294,'',,344.3304138183594
1666980478875476958,,114,,1666980478,864922294,'',,324.780029296875
1666980479072054238,,115,,1666980479,64922294,'',,173.264892578125
1666980479273291636,,116,,1666980479,262922294,'',,112.6588363647461
1666980479473383301,,117,,1666980479,462922294,'',,260.263916015625
1666980479670118279,,118,,1666980479,662922294,'',,303.2746887207031
1666980479870781143,,119,,1666980479,860922294,'',,215.29812622070312
1666980480071889742,,120,,1666980480,60922294,'',,341.3978576660156
1666980480272043475,,121,,1666980480,262922294,'',,235.82601928710938
1666980480472888429,,122,,1666980480,462859691,'',,358.0156555175781
1666980480669487628,,123,,1666980480,661859691,'',,67.69306945800781
1666980480870106296,,124,,1666980480,861859691,'',,302.29718017578125
1666980481070871206,,125,,1666980481,60859691,'',,311.0948181152344
1666980481267687720,,126,,1666980481,259859691,'',,306.2072448730469
1666980481468227575,,127,,1666980481,459859691,'',,337.48779296875
1666980481668934504,,128,,1666980481,659859691,'',,351.17303466796875
1666980481865613644,,129,,1666980481,857859691,'',,289.5894470214844
1666980482066208410,,130,,1666980482,57859691,'',,223.11825561523438
1666980482266852085,,131,,1666980482,255859691,'',,286.65692138671875
1666980482463619888,,132,,1666980482,455859691,'',,331.6227111816406
1666980482664162588,,133,,1666980482,655859691,'',,307.18475341796875
1666980482864873027,,134,,1666980482,857859691,'',,132.2091827392578
1666980483065666292,,135,,1666980483,58051719,'',,228.98341369628906
1666980483266426420,,136,,1666980483,257051719,'',,334.55523681640625
1666980483463061552,,137,,1666980483,457051719,'',,341.3978576660156
1666980483663612128,,138,,1666980483,655051719,'',,328.6901550292969
1666980483864194052,,139,,1666980483,855051719,'',,339.4428405761719
1666980484061137598,,140,,1666980484,55051719,'',,304.252197265625
1666980484261738375,,141,,1666980484,253051719,'',,286.65692138671875
1666980484462346186,,142,,1666980484,453051719,'',,329.66766357421875
1666980484659095733,,143,,1666980484,652051719,'',,335.53277587890625
1666980484859638481,,144,,1666980484,851051719,'',,367.7908020019531
1666980485060379618,,145,,1666980485,51051719,'',,367.7908020019531
1666980485257144245,,146,,1666980485,250051719,'',,392.228759765625
1666980485462648611,,147,,1666980485,452051719,'',,413.7341003417969
1666980485658456121,,148,,1666980485,650904073,'',,415.68914794921875
1666980485859191573,,149,,1666980485,849904073,'',,406.8915100097656
1666980486059854498,,150,,1666980486,48904073,'',,421.5542297363281
1666980486256546788,,151,,1666980486,247904073,'',,431.3294372558594
1666980486457336638,,152,,1666980486,447904073,'',,399.0713806152344
1666980486657975438,,153,,1666980486,646904073,'',,427.41937255859375
1666980486854519390,,154,,1666980486,845904073,'',,426.4418640136719
1666980487055271198,,155,,1666980487,45904073,'',,408.8465270996094
1666980487255913184,,156,,1666980487,243904073,'',,421.5542297363281
1666980487452939639,,157,,1666980487,443904073,'',,418.6217041015625
1666980487654457452,,158,,1666980487,642904073,'',,422.5317687988281
1666980487850187182,,159,,1666980487,841904073,'',,438.17205810546875
1666980488055331298,,160,,1666980488,43904073,'',,419.5992126464844
1666980488251553549,,161,,1666980488,243278326,'',,412.756591796875
1666980488452135220,,162,,1666980488,443278326,'',,431.3294372558594
1666980488653024917,,163,,1666980488,641278326,'',,422.5317687988281
1666980488850106941,,164,,1666980488,841278326,'',,397.1163330078125
1666980489050081539,,165,,1666980489,41278326,'',,426.4418640136719
1666980489250617654,,166,,1666980489,239278326,'',,418.6217041015625
1666980489447953841,,167,,1666980489,439278326,'',,429.3744201660156
1666980489648034165,,168,,1666980489,638278326,'',,437.1945495605469
1666980489848761329,,169,,1666980489,837278326,'',,412.756591796875
1666980490045447211,,170,,1666980490,37278326,'',,396.1388244628906
1666980490246102468,,171,,1666980490,236278326,'',,433.28448486328125
1666980490446885975,,172,,1666980490,435278326,'',,402.00390625
1666980490647491570,,173,,1666980490,637278326,'',,420.57672119140625
1666980490849371513,,174,,1666980490,837988271,'',,417.6441650390625
1666980491044872067,,175,,1666980491,36988271,'',,410.80157470703125
1666980491245851757,,176,,1666980491,235988271,'',,424.4867858886719
1666980491446482920,,177,,1666980491,435988271,'',,429.3744201660156
1666980491642882127,,178,,1666980491,633988271,'',,422.5317687988281
